"",BBK01.OEAC29M,BBK01.OEAC29M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:38,
2002-01,5.089,
2002-04,5.151,
2002-07,5.060,
2002-10,4.912,
2003-01,4.876,
2003-04,4.881,
2003-07,4.754,
2003-10,4.461,
2004-01,4.373,
2004-04,4.368,
2004-07,4.258,
2004-10,4.014,
2005-01,3.992,
2005-04,3.948,
2005-07,3.905,
2005-10,3.676,
2006-01,3.691,
2006-04,3.698,
2006-07,3.589,
2006-10,3.342,
2007-01,3.692,
2007-04,3.777,
2007-07,3.611,
2007-10,3.523,
2008-01,3.646,
2008-04,3.669,
2008-07,3.655,
2008-10,3.573,
2009-01,3.583,
2009-04,3.621,
2009-07,3.534,
2009-10,3.305,
2010-01,3.364,
2010-04,3.305,
2010-07,3.188,
2010-10,3.010,
2011-01,3.068,
2011-04,3.197,
2011-07,3.110,
2011-10,3.000,
2012-01,3.069,
2012-04,3.105,
2012-07,2.982,
2012-10,2.855,
2013-01,2.931,
2013-04,3.035,
2013-07,2.901,
2013-10,2.769,
2014-01,2.815,
2014-04,2.926,
2014-07,2.880,
