"",BBK01.OEXO02H,BBK01.OEXO02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:51,
2002-01,1.036,
2002-04,0.807,
2002-07,0.809,
2002-10,0.745,
2003-01,0.944,
2003-04,0.747,
2003-07,0.879,
2003-10,0.845,
2004-01,0.913,
2004-04,1.293,
2004-07,0.930,
2004-10,1.083,
2005-01,1.207,
2005-04,1.028,
2005-07,1.074,
2005-10,1.062,
2006-01,1.148,
2006-04,0.977,
2006-07,1.032,
2006-10,1.079,
2007-01,1.541,
2007-04,1.193,
2007-07,1.135,
2007-10,1.358,
2008-01,1.466,
2008-04,1.163,
2008-07,1.297,
2008-10,2.588,
2009-01,1.669,
2009-04,1.222,
2009-07,1.404,
2009-10,1.524,
2010-01,1.379,
2010-04,0.877,
2010-07,1.030,
2010-10,2.121,
2011-01,1.963,
2011-04,1.163,
2011-07,1.158,
2011-10,2.296,
2012-01,2.205,
2012-04,1.279,
2012-07,1.158,
2012-10,1.122,
2013-01,1.147,
2013-04,0.818,
2013-07,0.729,
2013-10,0.727,
2014-01,0.751,
2014-04,0.681,
2014-07,0.996,
