"",BBK01.OEXI04T,BBK01.OEXI04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:52,
2002-01,0.623,
2002-04,0.591,
2002-07,0.606,
2002-10,0.528,
2003-01,0.498,
2003-04,0.437,
2003-07,0.400,
2003-10,0.423,
2004-01,0.404,
2004-04,0.332,
2004-07,0.310,
2004-10,0.301,
2005-01,0.272,
2005-04,0.285,
2005-07,0.296,
2005-10,0.303,
2006-01,0.342,
2006-04,0.428,
2006-07,0.493,
2006-10,0.559,
2007-01,0.657,
2007-04,0.687,
2007-07,0.760,
2007-10,0.789,
2008-01,0.856,
2008-04,0.909,
2008-07,0.952,
2008-10,0.805,
2009-01,0.343,
2009-04,0.204,
2009-07,0.116,
2009-10,0.072,
2010-01,0.092,
2010-04,0.101,
2010-07,0.083,
2010-10,0.144,
2011-01,0.094,
2011-04,0.130,
2011-07,0.206,
2011-10,0.566,
2012-01,0.730,
2012-04,0.839,
2012-07,0.882,
2012-10,0.906,
2013-01,0.908,
2013-04,0.887,
2013-07,0.862,
2013-10,0.752,
2014-01,0.796,
2014-04,0.779,
2014-07,0.706,
