"",BBK01.CELZ0I,BBK01.CELZ0I_FLAGS
"",Other accounts receivable excluding trade credits and advances                                                debtor: Total            creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:32,
1999-01,1.7,
1999-04,1.2,
1999-07,1.3,
1999-10,3.6,
2000-01,0.0,
2000-04,-0.8,
2000-07,-0.8,
2000-10,-3.3,
2001-01,1.1,
2001-04,0.5,
2001-07,1.0,
2001-10,-10.3,
2002-01,18.2,
2002-04,-1.5,
2002-07,1.8,
2002-10,6.9,
2003-01,-3.7,
2003-04,4.5,
2003-07,2.1,
2003-10,3.2,
2004-01,-5.8,
2004-04,0.0,
2004-07,-0.3,
2004-10,2.4,
2005-01,-0.4,
2005-04,2.7,
2005-07,3.1,
2005-10,-8.0,
2006-01,-13.6,
2006-04,-0.6,
2006-07,0.3,
2006-10,-6.2,
2007-01,11.6,
2007-04,-13.5,
2007-07,-2.6,
2007-10,-35.0,
2008-01,44.6,
2008-04,13.0,
2008-07,13.0,
2008-10,-14.6,
2009-01,17.5,
2009-04,10.5,
2009-07,13.6,
2009-10,-11.9,
2010-01,5.7,
2010-04,-5.5,
2010-07,14.9,
2010-10,-20.4,
2011-01,17.2,
2011-04,3.1,
2011-07,11.6,
2011-10,-5.9,
2012-01,8.8,
2012-04,3.1,
2012-07,4.7,
2012-10,0.5,
2013-01,7.9,
2013-04,-1.2,
2013-07,11.2,
2013-10,-8.4,
2014-01,0.3,
2014-04,-8.3,
2014-07,4.2,
