"",BBFI1.Q.N.DE.W1.S12T.S1.LE.L.FA.P.F51._Z._T.M.N,BBFI1.Q.N.DE.W1.S12T.S1.LE.L.FA.P.F51._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Equity - Liabilities - Positions - resident issuer: Monetary financial institutions other than central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:36,
1999-10,43445,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,53107,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,33306,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,15870,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,26708,
2004-01,26893,
2004-04,24944,
2004-07,26042,
2004-10,28268,
2005-01,35988,
2005-04,42661,
2005-07,53015,
2005-10,48958,
2006-01,46925,
2006-04,42529,
2006-07,43495,
2006-10,46402,
2007-01,54382,
2007-04,58044,
2007-07,48138,
2007-10,47591,
2008-01,34590,
2008-04,29220,
2008-07,21174,
2008-10,13039,
2009-01,13817,
2009-04,18497,
2009-07,24458,
2009-10,21864,
2010-01,24721,
2010-04,20930,
2010-07,19100,
2010-10,26343,
2011-01,27745,
2011-04,30799,
2011-07,17977,
2011-10,18565,
2012-01,27185,
2012-04,21020,
2012-07,23327,
2012-10,25408,
2013-01,26152,
2013-04,25655,
2013-07,27227,
2013-10,28812,
2014-01,26804,
2014-04,29629,
2014-07,31344,
