"",BBK01.OEHO04G,BBK01.OEHO04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:38,
2002-01,-0.242,
2002-04,-0.347,
2002-07,-0.374,
2002-10,-0.255,
2003-01,-0.342,
2003-04,-0.389,
2003-07,-0.267,
2003-10,0.048,
2004-01,0.090,
2004-04,-0.133,
2004-07,-0.009,
2004-10,0.236,
2005-01,0.958,
2005-04,-0.291,
2005-07,-0.241,
2005-10,-0.505,
2006-01,-0.193,
2006-04,-0.352,
2006-07,-0.428,
2006-10,-0.649,
2007-01,-0.820,
2007-04,-0.935,
2007-07,-1.066,
2007-10,-1.130,
2008-01,-1.309,
2008-04,-1.172,
2008-07,-1.225,
2008-10,-0.375,
2009-01,0.763,
2009-04,0.865,
2009-07,1.201,
2009-10,1.513,
2010-01,1.171,
2010-04,0.414,
2010-07,0.197,
2010-10,0.252,
2011-01,0.311,
2011-04,-0.001,
2011-07,-0.364,
2011-10,-0.333,
2012-01,-0.155,
2012-04,-0.182,
2012-07,-0.384,
2012-10,-0.326,
2013-01,-0.235,
2013-04,-0.166,
2013-07,0.162,
2013-10,0.145,
2014-01,0.125,
2014-04,-0.172,
2014-07,-0.227,
