"",BBK01.PQP353,BBK01.PQP353_FLAGS
"",Lending to domestic enterprises and resident individuals / Long-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:15,
1985-10,4.429,
1986-01,4.540,
1986-04,4.659,
1986-07,4.780,
1986-10,4.960,
1987-01,5.180,
1987-04,5.530,
1987-07,5.779,
1987-10,5.897,
1988-01,6.014,
1988-04,6.236,
1988-07,6.451,
1988-10,6.607,
1989-01,6.659,
1989-04,6.780,
1989-07,6.936,
1989-10,7.147,
1990-01,7.303,
1990-04,7.595,
1990-07,7.754,
1990-10,7.644,
1991-01,7.947,
1991-04,8.379,
1991-07,8.594,
1991-10,8.690,
1992-01,8.896,
1992-04,9.038,
1992-07,9.445,
1992-10,15.018,
1993-01,14.887,
1993-04,15.194,
1993-07,15.722,
1993-10,16.431,
1994-01,17.283,
1994-04,17.770,
1994-07,20.215,
1994-10,20.736,
1995-01,20.775,
1995-04,21.076,
1995-07,21.388,
1995-10,21.719,
1996-01,22.426,
1996-04,22.973,
1996-07,23.315,
1996-10,24.259,
1997-01,24.322,
1997-04,25.230,
1997-07,24.789,
1997-10,25.316,
1998-01,25.681,
1998-04,25.770,
1998-07,26.072,
1998-10,26.694,
1999-01,21.363,
1999-04,21.974,
1999-07,22.737,
1999-10,23.265,
2000-01,24.145,
2000-04,24.307,
2000-07,24.684,
2000-10,25.520,
2001-01,27.030,
2001-04,27.822,
2001-07,28.398,
2001-10,28.720,
2002-01,29.377,
2002-04,38.407,
2002-07,41.430,
2002-10,41.209,
2003-01,42.473,
2003-04,43.097,
2003-07,43.860,
2003-10,44.482,
2004-01,45.036,
2004-04,46.445,
2004-07,47.544,
2004-10,49.300,
2005-01,50.767,
2005-04,53.438,
2005-07,56.832,
2005-10,166.727,
2006-01,167.840,
2006-04,167.841,
2006-07,168.463,
2006-10,168.344,
2007-01,167.165,
2007-04,166.312,
2007-07,169.162,
2007-10,173.590,
2008-01,172.465,
2008-04,173.123,
2008-07,173.098,
2008-10,171.955,
2009-01,170.842,
2009-04,169.325,
2009-07,168.562,
2009-10,167.454,
2010-01,165.575,
2010-04,165.130,
2010-07,166.520,
2010-10,165.922,
2011-01,165.636,
2011-04,165.472,
2011-07,165.994,
2011-10,166.259,
2012-01,165.856,
2012-04,166.083,
2012-07,165.667,
2012-10,160.728,
2013-01,160.316,
2013-04,156.391,
2013-07,157.065,
2013-10,157.609,
2014-01,157.613,
2014-04,159.474,
2014-07,160.333,
2014-10,159.887,
