"",BBK01.OEAF26G,BBK01.OEAF26G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:49,
2002-01,2.758,
2002-04,3.814,
2002-07,3.919,
2002-10,4.034,
2003-01,4.018,
2003-04,3.945,
2003-07,4.259,
2003-10,4.270,
2004-01,4.234,
2004-04,4.338,
2004-07,4.477,
2004-10,4.412,
2005-01,4.530,
2005-04,4.576,
2005-07,4.699,
2005-10,4.575,
2006-01,4.506,
2006-04,4.617,
2006-07,4.690,
2006-10,4.065,
2007-01,4.115,
2007-04,4.261,
2007-07,4.312,
2007-10,4.119,
2008-01,4.148,
2008-04,4.208,
2008-07,4.189,
2008-10,4.332,
2009-01,4.475,
2009-04,4.598,
2009-07,4.629,
2009-10,4.643,
2010-01,4.411,
2010-04,4.228,
2010-07,4.143,
2010-10,3.974,
2011-01,3.895,
2011-04,3.936,
2011-07,3.997,
2011-10,3.928,
2012-01,3.851,
2012-04,3.863,
2012-07,3.887,
2012-10,3.876,
2013-01,3.855,
2013-04,3.881,
2013-07,4.038,
2013-10,4.034,
2014-01,4.082,
2014-04,3.991,
2014-07,4.058,
