"",BBK01.OEXB19M,BBK01.OEXB19M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:52,
2002-01,6.538,
2002-04,6.768,
2002-07,7.119,
2002-10,7.467,
2003-01,7.536,
2003-04,7.780,
2003-07,8.084,
2003-10,8.134,
2004-01,8.003,
2004-04,8.199,
2004-07,8.401,
2004-10,7.606,
2005-01,7.593,
2005-04,7.733,
2005-07,7.181,
2005-10,7.313,
2006-01,7.335,
2006-04,7.677,
2006-07,8.135,
2006-10,7.559,
2007-01,7.589,
2007-04,7.098,
2007-07,7.353,
2007-10,7.444,
2008-01,6.707,
2008-04,6.709,
2008-07,6.200,
2008-10,6.437,
2009-01,6.958,
2009-04,7.812,
2009-07,8.372,
2009-10,8.917,
2010-01,9.149,
2010-04,9.198,
2010-07,9.533,
2010-10,9.757,
2011-01,9.323,
2011-04,9.079,
2011-07,8.856,
2011-10,8.996,
2012-01,9.177,
2012-04,9.674,
2012-07,9.978,
2012-10,10.302,
2013-01,9.846,
2013-04,10.379,
2013-07,10.330,
2013-10,10.732,
2014-01,11.000,
2014-04,10.391,
2014-07,10.925,
