"",BBDA1.M.DE.N.IM.S.A.SE.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.SE.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Sweden / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:26,
1990-07,535783,
1990-08,502641,
1990-09,566551,
1990-10,634721,
1990-11,662541,
1990-12,579797,
1991-01,637875,
1991-02,600867,
1991-03,615804,
1991-04,628288,
1991-05,658441,
1991-06,587295,
1991-07,678449,
1991-08,520638,
1991-09,581290,
1991-10,669829,
1991-11,643767,
1991-12,594988,
1992-01,566324,
1992-02,661748,
1992-03,669107,
1992-04,656820,
1992-05,629214,
1992-06,539702,
1992-07,610249,
1992-08,491738,
1992-09,593937,
1992-10,621501,
1992-11,587139,
1992-12,578850,
1993-01,439675,
1993-02,570584,
1993-03,563833,
1993-04,570082,
1993-05,498443,
1993-06,537450,
1993-07,493935,
1993-08,483073,
1993-09,545595,
1993-10,531654,
1993-11,590843,
1993-12,590744,
1994-01,441699,
1994-02,507037,
1994-03,706083,
1994-04,554271,
1994-05,664443,
1994-06,599718,
1994-07,532079,
1994-08,584894,
1994-09,616860,
1994-10,598416,
1994-11,702691,
1994-12,668254,
1995-01,547637,
1995-02,548770,
1995-03,689157,
1995-04,562764,
1995-05,586170,
1995-06,652696,
1995-07,602644,
1995-08,533329,
1995-09,609600,
1995-10,614021,
1995-11,598862,
1995-12,580936,
1996-01,626041,
1996-02,620346,
1996-03,623303,
1996-04,624321,
1996-05,580188,
1996-06,583350,
1996-07,709684,
1996-08,554158,
1996-09,568844,
1996-10,682310,
1996-11,662980,
1996-12,623617,
1997-01,631518,
1997-02,607702,
1997-03,630653,
1997-04,571404,
1997-05,643092,
1997-06,611681,
1997-07,683682,
1997-08,529283,
1997-09,640500,
1997-10,635115,
1997-11,716004,
1997-12,675982,
1998-01,736658,
1998-02,675675,
1998-03,679780,
1998-04,734618,
1998-05,613587,
1998-06,754353,
