"",BBK01.CELE05,BBK01.CELE05_FLAGS
"",short-term loans                                              debtor: Total            creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:18,
1999-01,-4.0,
1999-04,16.4,
1999-07,-13.6,
1999-10,3.4,
2000-01,23.5,
2000-04,15.7,
2000-07,-17.1,
2000-10,-5.8,
2001-01,37.1,
2001-04,-1.7,
2001-07,-19.1,
2001-10,-8.5,
2002-01,-6.4,
2002-04,-10.4,
2002-07,6.4,
2002-10,-3.4,
2003-01,11.9,
2003-04,2.4,
2003-07,-1.2,
2003-10,-5.0,
2004-01,9.1,
2004-04,1.9,
2004-07,-3.7,
2004-10,-7.9,
2005-01,9.2,
2005-04,0.0,
2005-07,13.5,
2005-10,-3.5,
2006-01,14.7,
2006-04,1.4,
2006-07,1.9,
2006-10,-10.0,
2007-01,7.7,
2007-04,12.5,
2007-07,-6.5,
2007-10,-5.8,
2008-01,5.8,
2008-04,4.8,
2008-07,-4.0,
2008-10,8.4,
2009-01,-9.7,
2009-04,4.5,
2009-07,-8.2,
2009-10,8.1,
2010-01,1.5,
2010-04,5.2,
2010-07,-1.8,
2010-10,1.0,
2011-01,7.7,
2011-04,-1.2,
2011-07,16.2,
2011-10,-16.3,
2012-01,15.3,
2012-04,-4.7,
2012-07,-1.6,
2012-10,13.5,
2013-01,-3.1,
2013-04,19.8,
2013-07,-6.4,
2013-10,-7.0,
2014-01,9.6,
2014-04,6.4,
2014-07,-3.6,
