"",BBK01.OEBI04G,BBK01.OEBI04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:31,
2002-01,13.784,
2002-04,14.396,
2002-07,14.560,
2002-10,14.117,
2003-01,12.265,
2003-04,13.491,
2003-07,11.494,
2003-10,11.279,
2004-01,9.792,
2004-04,9.440,
2004-07,9.444,
2004-10,9.403,
2005-01,6.030,
2005-04,5.705,
2005-07,5.091,
2005-10,5.757,
2006-01,4.892,
2006-04,5.112,
2006-07,5.091,
2006-10,6.245,
2007-01,6.851,
2007-04,7.642,
2007-07,9.004,
2007-10,10.274,
2008-01,11.261,
2008-04,12.304,
2008-07,13.738,
2008-10,14.447,
2009-01,16.689,
2009-04,17.017,
2009-07,15.117,
2009-10,12.996,
2010-01,10.038,
2010-04,9.189,
2010-07,9.157,
2010-10,8.837,
2011-01,8.853,
2011-04,8.721,
2011-07,9.827,
2011-10,11.050,
2012-01,10.826,
2012-04,11.841,
2012-07,11.535,
2012-10,11.438,
2013-01,11.523,
2013-04,10.986,
2013-07,10.454,
2013-10,10.102,
2014-01,10.751,
2014-04,10.830,
2014-07,11.428,
