"",BBK01.OELJ02P,BBK01.OELJ02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:25,
2002-01,0.251,
2002-04,0.264,
2002-07,0.278,
2002-10,0.321,
2003-01,0.253,
2003-04,0.311,
2003-07,0.290,
2003-10,0.306,
2004-01,0.322,
2004-04,0.302,
2004-07,0.324,
2004-10,0.371,
2005-01,0.323,
2005-04,0.331,
2005-07,0.412,
2005-10,0.413,
2006-01,0.391,
2006-04,0.381,
2006-07,0.400,
2006-10,0.479,
2007-01,0.437,
2007-04,0.471,
2007-07,0.420,
2007-10,0.455,
2008-01,0.364,
2008-04,0.356,
2008-07,0.426,
2008-10,0.464,
2009-01,0.467,
2009-04,0.560,
2009-07,0.548,
2009-10,0.640,
2010-01,0.537,
2010-04,0.575,
2010-07,0.579,
2010-10,0.656,
2011-01,0.615,
2011-04,0.672,
2011-07,0.688,
2011-10,0.755,
2012-01,0.823,
2012-04,0.909,
2012-07,1.110,
2012-10,1.088,
2013-01,1.033,
2013-04,1.015,
2013-07,1.035,
2013-10,1.046,
2014-01,1.014,
2014-04,0.965,
2014-07,0.968,
