"",BBK01.OEHL01R,BBK01.OEHL01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:31,
2002-01,7.494,
2002-04,7.463,
2002-07,7.474,
2002-10,7.627,
2003-01,7.605,
2003-04,7.547,
2003-07,7.546,
2003-10,7.655,
2004-01,7.622,
2004-04,7.567,
2004-07,7.530,
2004-10,7.647,
2005-01,7.584,
2005-04,7.514,
2005-07,7.484,
2005-10,7.579,
2006-01,7.565,
2006-04,7.518,
2006-07,7.521,
2006-10,7.544,
2007-01,7.480,
2007-04,7.444,
2007-07,7.464,
2007-10,7.550,
2008-01,7.446,
2008-04,7.412,
2008-07,7.366,
2008-10,7.600,
2009-01,7.618,
2009-04,7.636,
2009-07,7.687,
2009-10,7.905,
2010-01,7.954,
2010-04,8.006,
2010-07,8.032,
2010-10,8.152,
2011-01,8.124,
2011-04,8.129,
2011-07,8.127,
2011-10,8.245,
2012-01,8.230,
2012-04,8.298,
2012-07,8.375,
2012-10,8.455,
2013-01,8.487,
2013-04,8.522,
2013-07,8.547,
2013-10,8.647,
2014-01,8.707,
2014-04,8.744,
2014-07,8.821,
