"",BBEX3.D.ARS.EUR.CA.AB.000,BBEX3.D.ARS.EUR.CA.AB.000_FLAGS
"",Exchange rates for the euro in Argentina / EUR 1 = ARS ... (selling),
unit,ARS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:38:28,
2002-02-11,1.7088,
2002-02-12,1.6215,
2002-02-13,1.4843,
2002-02-14,1.4843,
2002-02-15,1.7031,
2002-02-16,.,No value available
2002-02-17,.,No value available
2002-02-18,1.7408,
2002-02-19,1.8409,
2002-02-20,1.8278,
2002-02-21,1.7374,
2002-02-22,1.7958,
2002-02-23,.,No value available
2002-02-24,.,No value available
2002-02-25,1.8240,
2002-02-26,1.8140,
2002-02-27,1.8304,
2002-02-28,1.8673,
2002-03-01,1.8157,
2002-03-02,.,No value available
2002-03-03,.,No value available
2002-03-04,1.7831,
2002-03-05,1.7835,
2002-03-06,1.8840,
2002-03-07,1.9419,
2002-03-08,1.9629,
2002-03-09,.,No value available
2002-03-10,.,No value available
2002-03-11,2.0577,
2002-03-12,2.1019,
2002-03-13,2.0775,
2002-03-14,2.1001,
2002-03-15,2.1001,
2002-03-16,.,No value available
2002-03-17,.,No value available
2002-03-18,2.0992,
2002-03-19,2.1325,
2002-03-20,2.1946,
2002-03-21,2.1015,
2002-03-22,2.5954,
2002-03-23,.,No value available
2002-03-24,.,No value available
2002-03-25,2.7610,
2002-03-26,2.5427,
2002-03-27,2.6193,
2002-03-28,.,No value available
2002-03-29,.,No value available
2002-03-30,.,No value available
2002-03-31,.,No value available
2002-04-01,.,No value available
2002-04-02,2.5919,
2002-04-03,2.5984,
2002-04-04,2.3522,
2002-04-05,2.4219,
2002-04-06,.,No value available
2002-04-07,.,No value available
2002-04-08,2.4038,
2002-04-09,2.4657,
2002-04-10,2.4662,
2002-04-11,2.5168,
2002-04-12,2.5503,
2002-04-13,.,No value available
2002-04-14,.,No value available
2002-04-15,2.5939,
2002-04-16,2.4732,
2002-04-17,2.5543,
2002-04-18,2.7606,
2002-04-19,2.8098,
2002-04-20,.,No value available
2002-04-21,.,No value available
2002-04-22,.,No value available
2002-04-23,.,No value available
2002-04-24,.,No value available
2002-04-25,.,No value available
2002-04-26,.,No value available
2002-04-27,.,No value available
2002-04-28,.,No value available
2002-04-29,2.6647,
2002-04-30,2.6823,
2002-05-01,.,No value available
2002-05-02,2.7987,
2002-05-03,2.9344,
2002-05-04,.,No value available
2002-05-05,.,No value available
2002-05-06,2.9309,
2002-05-07,2.9248,
2002-05-08,2.8954,
2002-05-09,2.8965,
2002-05-10,2.9673,
2002-05-11,.,No value available
2002-05-12,.,No value available
2002-05-13,2.9611,
2002-05-14,2.9325,
2002-05-15,2.9526,
2002-05-16,2.9627,
2002-05-17,3.1324,
2002-05-18,.,No value available
2002-05-19,.,No value available
2002-05-20,3.2703,
2002-05-21,3.1754,
2002-05-22,3.1944,
2002-05-23,3.1372,
2002-05-24,3.1747,
2002-05-25,.,No value available
2002-05-26,.,No value available
2002-05-27,3.2235,
2002-05-28,3.2536,
2002-05-29,3.3646,
2002-05-30,3.3858,
2002-05-31,3.3487,
2002-06-01,.,No value available
2002-06-02,.,No value available
2002-06-03,3.3963,
2002-06-04,3.4122,
2002-06-05,3.4274,
2002-06-06,3.4493,
2002-06-07,3.4500,
2002-06-08,.,No value available
2002-06-09,.,No value available
2002-06-10,3.2967,
2002-06-11,3.3110,
2002-06-12,3.3065,
2002-06-13,3.2946,
2002-06-14,3.3801,
2002-06-15,.,No value available
2002-06-16,.,No value available
2002-06-17,.,No value available
2002-06-18,3.3714,
2002-06-19,3.4030,
2002-06-20,3.4804,
2002-06-21,3.6226,
2002-06-22,.,No value available
2002-06-23,.,No value available
2002-06-24,3.6899,
2002-06-25,3.7928,
2002-06-26,3.8000,
2002-06-27,3.7479,
2002-06-28,3.7631,
2002-06-29,.,No value available
2002-06-30,.,No value available
2002-07-01,3.7434,
2002-07-02,3.5814,
2002-07-03,3.5225,
2002-07-04,3.4911,
2002-07-05,3.5046,
2002-07-06,.,No value available
2002-07-07,.,No value available
2002-07-08,3.5049,
2002-07-09,.,No value available
2002-07-10,3.5187,
2002-07-11,3.5573,
2002-07-12,3.5618,
2002-07-13,.,No value available
2002-07-14,.,No value available
2002-07-15,3.6248,
2002-07-16,3.5938,
2002-07-17,3.5989,
2002-07-18,3.5846,
2002-07-19,3.6276,
2002-07-20,.,No value available
2002-07-21,.,No value available
2002-07-22,3.6408,
2002-07-23,3.6414,
2002-07-24,3.6247,
2002-07-25,3.6529,
2002-07-26,3.6205,
2002-07-27,.,No value available
2002-07-28,.,No value available
2002-07-29,3.5802,
2002-07-30,3.6182,
2002-07-31,3.6205,
2002-08-01,3.5501,
2002-08-02,3.5806,
2002-08-03,.,No value available
2002-08-04,.,No value available
2002-08-05,3.5759,
2002-08-06,3.5044,
2002-08-07,3.5472,
2002-08-08,3.5277,
2002-08-09,3.5286,
2002-08-10,.,No value available
2002-08-11,.,No value available
2002-08-12,3.5411,
2002-08-13,3.5603,
2002-08-14,3.5832,
2002-08-15,3.5818,
2002-08-16,3.5803,
2002-08-17,.,No value available
2002-08-18,.,No value available
2002-08-19,.,No value available
2002-08-20,3.5472,
2002-08-21,3.5132,
2002-08-22,3.4805,
2002-08-23,3.5172,
2002-08-24,.,No value available
2002-08-25,.,No value available
2002-08-26,3.5273,
2002-08-27,3.5563,
2002-08-28,3.5389,
2002-08-29,3.5639,
2002-08-30,3.5618,
2002-08-31,.,No value available
2002-09-01,.,No value available
2002-09-02,3.5734,
2002-09-03,3.6229,
2002-09-04,3.6201,
2002-09-05,3.6024,
2002-09-06,3.5705,
2002-09-07,.,No value available
2002-09-08,.,No value available
2002-09-09,3.5592,
2002-09-10,3.5378,
2002-09-11,3.5309,
2002-09-12,3.5589,
2002-09-13,3.5395,
2002-09-14,.,No value available
2002-09-15,.,No value available
2002-09-16,3.5431,
2002-09-17,3.5215,
2002-09-18,3.5682,
2002-09-19,3.6164,
2002-09-20,3.5868,
2002-09-21,.,No value available
2002-09-22,.,No value available
2002-09-23,3.5849,
2002-09-24,3.5843,
2002-09-25,3.5893,
2002-09-26,3.5885,
2002-09-27,3.6686,
2002-09-28,.,No value available
2002-09-29,.,No value available
2002-09-30,3.6914,
2002-10-01,3.6817,
2002-10-02,3.6934,
2002-10-03,3.7020,
2002-10-04,3.6698,
2002-10-05,.,No value available
2002-10-06,.,No value available
2002-10-07,3.6795,
2002-10-08,3.6536,
2002-10-09,3.6787,
2002-10-10,3.6493,
2002-10-11,3.6501,
2002-10-12,.,No value available
2002-10-13,.,No value available
2002-10-14,.,No value available
2002-10-15,3.5886,
2002-10-16,3.5334,
2002-10-17,3.4960,
2002-10-18,3.5258,
2002-10-19,.,No value available
2002-10-20,.,No value available
2002-10-21,3.5324,
2002-10-22,3.5447,
2002-10-23,3.5284,
2002-10-24,3.5237,
2002-10-25,3.5360,
2002-10-26,.,No value available
2002-10-27,.,No value available
2002-10-28,3.5399,
2002-10-29,3.5249,
2002-10-30,3.4893,
2002-10-31,3.4827,
2002-11-01,3.5290,
2002-11-02,.,No value available
2002-11-03,.,No value available
2002-11-04,3.5536,
2002-11-05,3.5400,
2002-11-06,.,No value available
2002-11-07,3.6003,
2002-11-08,3.6045,
2002-11-09,.,No value available
2002-11-10,.,No value available
2002-11-11,3.5988,
2002-11-12,3.5988,
2002-11-13,3.5540,
2002-11-14,3.5757,
2002-11-15,3.5697,
2002-11-16,.,No value available
2002-11-17,.,No value available
2002-11-18,3.5558,
2002-11-19,3.5358,
2002-11-20,3.5299,
2002-11-21,3.5054,
2002-11-22,3.4906,
2002-11-23,.,No value available
