"",BBK01.OEBB02I,BBK01.OEBB02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:48,
2002-01,12.280,
2002-04,10.524,
2002-07,10.492,
2002-10,10.293,
2003-01,9.454,
2003-04,9.578,
2003-07,9.258,
2003-10,7.767,
2004-01,8.146,
2004-04,7.379,
2004-07,7.424,
2004-10,6.609,
2005-01,6.731,
2005-04,6.531,
2005-07,7.123,
2005-10,6.224,
2006-01,6.171,
2006-04,6.074,
2006-07,4.100,
2006-10,4.370,
2007-01,4.032,
2007-04,4.164,
2007-07,3.948,
2007-10,4.281,
2008-01,4.079,
2008-04,4.504,
2008-07,5.030,
2008-10,4.994,
2009-01,4.805,
2009-04,4.761,
2009-07,4.652,
2009-10,4.497,
2010-01,4.493,
2010-04,4.811,
2010-07,4.672,
2010-10,4.562,
2011-01,4.380,
2011-04,4.095,
2011-07,4.029,
2011-10,4.075,
2012-01,4.427,
2012-04,4.376,
2012-07,4.422,
2012-10,4.429,
2013-01,5.009,
2013-04,5.286,
2013-07,5.238,
2013-10,5.540,
2014-01,5.271,
2014-04,5.008,
2014-07,4.729,
