"",BBK01.OEBL05H,BBK01.OEBL05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:26,
2002-01,0.527,
2002-04,0.536,
2002-07,0.510,
2002-10,0.558,
2003-01,0.547,
2003-04,0.562,
2003-07,0.525,
2003-10,0.499,
2004-01,0.479,
2004-04,0.456,
2004-07,0.458,
2004-10,0.428,
2005-01,0.786,
2005-04,0.765,
2005-07,0.720,
2005-10,0.721,
2006-01,0.704,
2006-04,0.681,
2006-07,0.668,
2006-10,0.695,
2007-01,0.663,
2007-04,0.647,
2007-07,0.671,
2007-10,0.697,
2008-01,0.763,
2008-04,0.799,
2008-07,0.886,
2008-10,0.993,
2009-01,1.183,
2009-04,1.200,
2009-07,1.311,
2009-10,1.389,
2010-01,1.515,
2010-04,1.621,
2010-07,1.736,
2010-10,1.733,
2011-01,1.749,
2011-04,1.703,
2011-07,1.613,
2011-10,1.615,
2012-01,1.614,
2012-04,1.614,
2012-07,1.653,
2012-10,1.665,
2013-01,1.602,
2013-04,1.603,
2013-07,1.652,
2013-10,1.650,
2014-01,1.677,
2014-04,1.694,
2014-07,1.707,
