"",BBK01.OEYB08J,BBK01.OEYB08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:50,
2002-01,4.409,
2002-04,4.444,
2002-07,5.245,
2002-10,5.513,
2003-01,5.385,
2003-04,5.138,
2003-07,5.106,
2003-10,5.136,
2004-01,5.282,
2004-04,5.326,
2004-07,5.226,
2004-10,5.176,
2005-01,5.422,
2005-04,5.559,
2005-07,5.577,
2005-10,5.567,
2006-01,5.736,
2006-04,5.647,
2006-07,5.714,
2006-10,4.856,
2007-01,4.820,
2007-04,4.735,
2007-07,4.713,
2007-10,4.754,
2008-01,4.815,
2008-04,4.806,
2008-07,4.275,
2008-10,4.184,
2009-01,4.146,
2009-04,4.198,
2009-07,4.154,
2009-10,4.157,
2010-01,4.167,
2010-04,6.864,
2010-07,6.692,
2010-10,6.904,
2011-01,6.830,
2011-04,6.690,
2011-07,6.744,
2011-10,6.776,
2012-01,6.233,
2012-04,6.024,
2012-07,5.708,
2012-10,5.650,
2013-01,5.647,
2013-04,5.530,
2013-07,5.600,
2013-10,5.439,
2014-01,5.490,
2014-04,5.387,
2014-07,5.179,
