"",BBAI3.Q.DE.N.V.LE.F2M.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F2M.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Deposits / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:48,
2005-10,795,
2006-01,685,
2006-04,682,
2006-07,679,
2006-10,822,
2007-01,672,
2007-04,680,
2007-07,696,
2007-10,858,
2008-01,734,
2008-04,792,
2008-07,786,
2008-10,970,
2009-01,853,
2009-04,826,
2009-07,823,
2009-10,950,
2010-01,789,
2010-04,799,
2010-07,812,
2010-10,939,
2011-01,793,
2011-04,776,
2011-07,776,
2011-10,874,
2012-01,795,
2012-04,785,
2012-07,793,
2012-10,838,
2013-01,746,
2013-04,739,
2013-07,730,
2013-10,773,
2014-01,723,
2014-04,713,
2014-07,701,
