"",BBFB1.Q.N.DE.MX.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.MX.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Mexico,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:03,
1991-01,304.334,
1991-04,123.061,
1991-07,28.678,
1991-10,87.049,
1992-01,343.939,
1992-04,-16.979,
1992-07,251.624,
1992-10,80.665,
1993-01,79.335,
1993-04,-145.600,
1993-07,-16.023,
1993-10,324.955,
1994-01,-50.342,
1994-04,37.280,
1994-07,104.882,
1994-10,-209.747,
1995-01,-111.394,
1995-04,35.885,
1995-07,-46.721,
1995-10,-23.620,
1996-01,-114.699,
1996-04,-118.166,
1996-07,-11.227,
1996-10,20.453,
1997-01,43.170,
1997-04,66.758,
1997-07,-112.300,
1997-10,62.135,
1998-01,186.829,
1998-04,55.817,
1998-07,-1.755,
1998-10,-2.580,
1999-01,-9.686,
1999-04,-37.855,
1999-07,149.556,
1999-10,200.040,
2000-01,100.747,
2000-04,28.959,
2000-07,185.956,
2000-10,121.644,
2001-01,238.446,
2001-04,-92.277,
2001-07,29.077,
2001-10,285.631,
2002-01,-16.196,
2002-04,96.302,
2002-07,63.021,
2002-10,-167.177,
2003-01,90.855,
2003-04,95.671,
2003-07,-154.962,
2003-10,-135.260,
2004-01,-49.088,
2004-04,148.005,
2004-07,27.542,
2004-10,29.183,
2005-01,-119.568,
2005-04,20.755,
2005-07,-142.253,
2005-10,0.776,
2006-01,-188.776,
2006-04,-54.978,
2006-07,148.761,
2006-10,-59.853,
2007-01,-72.061,
2007-04,-39.687,
2007-07,79.088,
2007-10,-61.046,
2008-01,-127.660,
2008-04,312.070,
2008-07,167.719,
2008-10,-41.284,
2009-01,-128.668,
2009-04,62.718,
2009-07,41.729,
2009-10,147.667,
2010-01,376.747,
2010-04,110.662,
2010-07,148.646,
2010-10,-533.589,
2011-01,-256.826,
2011-04,116.463,
2011-07,-116.362,
2011-10,-183.478,
2012-01,-14.175,
2012-04,-175.167,
2012-07,83.933,
2012-10,-120.670,
2013-01,44.344,
2013-04,-201.060,
2013-07,-104.295,
2013-10,211.666,
2014-01,-114.508,Provisional value
2014-04,228.366,Provisional value
2014-07,-6.743,Provisional value
2014-10,99.684,Provisional value
