"",BBK01.OEHL06U,BBK01.OEHL06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:06,
2002-01,1.436,
2002-04,1.474,
2002-07,1.480,
2002-10,1.535,
2003-01,1.505,
2003-04,1.473,
2003-07,1.426,
2003-10,1.419,
2004-01,1.343,
2004-04,1.273,
2004-07,1.220,
2004-10,1.187,
2005-01,1.142,
2005-04,1.069,
2005-07,1.028,
2005-10,1.045,
2006-01,1.045,
2006-04,1.047,
2006-07,1.110,
2006-10,1.159,
2007-01,1.228,
2007-04,1.275,
2007-07,1.305,
2007-10,1.384,
2008-01,1.415,
2008-04,1.444,
2008-07,1.471,
2008-10,1.479,
2009-01,1.325,
2009-04,1.178,
2009-07,1.031,
2009-10,0.886,
2010-01,0.867,
2010-04,0.827,
2010-07,0.778,
2010-10,0.810,
2011-01,0.826,
2011-04,0.844,
2011-07,0.846,
2011-10,0.891,
2012-01,0.874,
2012-04,0.826,
2012-07,0.805,
2012-10,0.770,
2013-01,0.689,
2013-04,0.654,
2013-07,0.622,
2013-10,0.608,
2014-01,0.580,
2014-04,0.554,
2014-07,0.526,
