"",BBSF2.M.1.T.00000.DER01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DER01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Derivative funds / Number outstanding,
unit,Stück (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:24,
2009-09,12195,
2009-10,11624,
2009-11,10980,
2009-12,10627,
2010-01,10256,
2010-02,10207,
2010-03,9784,
2010-04,9550,
2010-05,9242,
2010-06,8874,
2010-07,8698,
2010-08,8565,
2010-09,8438,
2010-10,8272,
2010-11,8139,
2010-12,7977,
2011-01,7768,
2011-02,7528,
2011-03,4490,
2011-04,4484,
2011-05,4469,
2011-06,4432,
2011-07,4426,
2011-08,4443,
2011-09,4436,
2011-10,4700,
2011-11,4697,
2011-12,4694,
2012-01,4728,
2012-02,4733,
2012-03,1418,
2012-04,1411,
2012-05,1407,
2012-06,1452,
2012-07,1462,
2012-08,1463,
2012-09,1498,
2012-10,1463,
2012-11,1470,
2012-12,1469,
2013-01,569,
2013-02,582,
2013-03,589,
2013-04,568,
2013-05,554,
2013-06,545,
2013-07,534,
2013-08,523,
2013-09,523,
2013-10,511,
2013-11,501,
2013-12,495,
2014-01,489,
2014-02,486,
2014-03,483,
2014-04,488,
2014-05,563,
2014-06,551,
2014-07,558,
2014-08,318,
2014-09,327,
2014-10,371,
2014-11,351,
