"",BBFB1.M.N.DE.W1.S1.S1.T.D.D4P._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D4P._T.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:16,
1991-01,3668.840,
1991-02,3412.978,
1991-03,3535.571,
1991-04,3657.068,
1991-05,4011.129,
1991-06,5217.050,
1991-07,4293.121,
1991-08,3748.261,
1991-09,3758.069,
1991-10,3713.302,
1991-11,3992.182,
1991-12,4001.270,
1992-01,3880.170,
1992-02,3599.520,
1992-03,3959.345,
1992-04,3777.738,
1992-05,4147.058,
1992-06,4511.260,
1992-07,4226.009,
1992-08,3995.890,
1992-09,4099.560,
1992-10,3835.379,
1992-11,4364.030,
1992-12,3734.024,
1993-01,4549.262,
1993-02,4467.926,
1993-03,4457.404,
1993-04,4577.014,
1993-05,4716.044,
1993-06,4393.176,
1993-07,4406.472,
1993-08,4382.102,
1993-09,4386.747,
1993-10,4212.851,
1993-11,4598.486,
1993-12,4087.340,
1994-01,4900.489,
1994-02,4595.310,
1994-03,4757.146,
1994-04,4528.978,
1994-05,5365.951,
1994-06,4510.588,
1994-07,4986.195,
1994-08,4731.003,
1994-09,4716.220,
1994-10,4456.360,
1994-11,5465.953,
1994-12,5071.910,
1995-01,5189.994,
1995-02,5035.685,
1995-03,5244.424,
1995-04,4832.502,
1995-05,5466.875,
1995-06,5242.037,
1995-07,5396.633,
1995-08,5244.590,
1995-09,4894.786,
1995-10,5127.520,
1995-11,5634.698,
1995-12,5185.287,
1996-01,4739.382,
1996-02,4924.371,
1996-03,4471.072,
1996-04,4949.736,
1996-05,5494.104,
1996-06,5266.953,
1996-07,6896.212,
1996-08,5359.092,
1996-09,5740.358,
1996-10,5177.297,
1996-11,5686.509,
1996-12,5391.696,
1997-01,5831.647,
1997-02,6078.805,
1997-03,5779.574,
1997-04,5719.863,
1997-05,7321.423,
1997-06,6872.182,
1997-07,6555.228,
1997-08,5806.847,
1997-09,5751.065,
1997-10,6602.576,
1997-11,6666.000,
1997-12,6693.526,
1998-01,5921.847,
1998-02,6362.649,
1998-03,6487.927,
1998-04,6648.998,
1998-05,7645.270,
1998-06,8796.479,
1998-07,8039.314,
1998-08,6659.578,
1998-09,6526.108,
1998-10,6712.707,
1998-11,6786.697,
1998-12,8685.158,
1999-01,6910.569,
1999-02,8136.281,
1999-03,7166.372,
1999-04,7404.167,
1999-05,9655.551,
1999-06,8292.122,
1999-07,8033.342,
1999-08,7841.769,
1999-09,8023.574,
1999-10,8235.155,
1999-11,8587.779,
1999-12,10882.808,
2000-01,7869.874,
2000-02,9374.351,
2000-03,9160.397,
2000-04,10159.668,
2000-05,10965.216,
2000-06,10738.789,
2000-07,10636.648,
2000-08,10844.471,
2000-09,10339.663,
2000-10,10161.875,
2000-11,11014.581,
2000-12,12305.930,
2001-01,9476.072,
2001-02,10031.103,
2001-03,9388.512,
2001-04,10264.214,
2001-05,10910.754,
2001-06,9441.667,
2001-07,9090.497,
2001-08,8833.650,
2001-09,8535.106,
2001-10,8684.128,
2001-11,8857.717,
2001-12,8979.387,
2002-01,10054.324,
2002-02,9897.666,
2002-03,9818.562,
2002-04,10304.084,
2002-05,11985.002,
2002-06,10478.684,
2002-07,10117.307,
2002-08,9989.831,
2002-09,9969.578,
2002-10,9863.556,
2002-11,10146.256,
2002-12,10110.673,
2003-01,10032.871,
2003-02,9571.870,
2003-03,9326.462,
2003-04,11457.703,
2003-05,11530.249,
2003-06,10367.528,
2003-07,9720.468,
2003-08,9688.277,
2003-09,9709.377,
2003-10,9274.744,
2003-11,9729.687,
2003-12,10014.785,
2004-01,9721.815,
2004-02,9182.835,
2004-03,9218.776,
2004-04,11251.753,
2004-05,10350.057,
2004-06,9905.194,
2004-07,8844.875,
2004-08,8866.984,
2004-09,9218.666,
2004-10,8881.272,
2004-11,9493.758,
2004-12,9567.949,
2005-01,10674.768,
2005-02,10311.303,
2005-03,10442.674,
2005-04,13473.546,
2005-05,12674.116,
2005-06,10999.720,
2005-07,10775.623,
2005-08,10808.485,
2005-09,10897.465,
2005-10,10752.329,
2005-11,11257.162,
2005-12,11382.160,
2006-01,11571.323,
2006-02,11116.960,
2006-03,12043.380,
2006-04,12757.280,
2006-05,18418.357,
2006-06,12685.017,
2006-07,12006.426,
2006-08,12280.669,
2006-09,12421.002,
2006-10,12487.245,
2006-11,13036.122,
2006-12,13501.194,
2007-01,15994.594,
2007-02,14896.807,
2007-03,15051.246,
2007-04,19358.580,
2007-05,25281.930,
2007-06,15845.633,
2007-07,15706.686,
2007-08,15074.881,
2007-09,14406.128,
2007-10,14288.856,
2007-11,14546.203,
2007-12,14077.189,
2008-01,15073.881,
2008-02,13099.106,
2008-03,12933.133,
2008-04,18121.621,
2008-05,20664.241,
2008-06,12638.490,
2008-07,11857.964,
2008-08,10894.687,
2008-09,10599.909,
2008-10,10248.644,
2008-11,10289.491,
2008-12,10417.735,
2009-01,10727.582,
2009-02,8768.177,
2009-03,8442.297,
2009-04,13499.059,
2009-05,15900.374,
2009-06,8348.780,
2009-07,8072.250,
2009-08,7943.492,
2009-09,7981.580,
2009-10,8088.044,
2009-11,8289.414,
2009-12,8879.725,
2010-01,9753.000,
2010-02,9632.816,
2010-03,9932.050,
2010-04,13984.779,
2010-05,17525.515,
2010-06,11401.092,
2010-07,10495.874,
2010-08,10335.413,
2010-09,10426.342,
2010-10,10493.748,
2010-11,10576.040,
2010-12,11288.067,
2011-01,11463.081,
2011-02,9931.451,
2011-03,9995.682,
2011-04,13152.667,
2011-05,21820.423,
2011-06,10734.709,
2011-07,10077.362,
2011-08,9692.688,
2011-09,9772.923,
2011-10,9663.829,
2011-11,9830.882,
2011-12,10166.322,
2012-01,11181.839,
2012-02,9296.205,
2012-03,9609.205,
2012-04,14539.376,
2012-05,17020.724,
2012-06,10114.430,
2012-07,9671.677,
2012-08,9116.187,
2012-09,9271.359,
2012-10,9160.347,
2012-11,9138.107,
2012-12,9426.473,
2013-01,10253.587,
2013-02,8951.248,
2013-03,9101.876,
2013-04,14183.961,
2013-05,13488.627,
2013-06,10147.806,
2013-07,9158.268,
2013-08,8736.268,
2013-09,9648.939,
2013-10,8744.211,
2013-11,8525.639,
2013-12,8724.713,
2014-01,9842.810,
2014-02,8478.239,Provisional value
2014-03,8466.555,Provisional value
2014-04,12003.620,Provisional value
2014-05,18326.697,Provisional value
2014-06,10565.782,Provisional value
2014-07,9059.252,Provisional value
2014-08,8471.227,Provisional value
2014-09,8232.157,
2014-10,8223.822,
2014-11,8061.460,
2014-12,8463.921,Provisional value
