"",BBK01.OEAM02N,BBK01.OEAM02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:18,
2002-01,2.135,
2002-04,2.662,
2002-07,1.973,
2002-10,3.131,
2003-01,2.093,
2003-04,2.903,
2003-07,2.031,
2003-10,3.212,
2004-01,2.395,
2004-04,2.574,
2004-07,2.589,
2004-10,2.258,
2005-01,2.167,
2005-04,2.470,
2005-07,2.261,
2005-10,2.455,
2006-01,2.244,
2006-04,3.962,
2006-07,3.056,
2006-10,3.044,
2007-01,3.103,
2007-04,3.063,
2007-07,4.672,
2007-10,3.749,
2008-01,4.436,
2008-04,5.371,
2008-07,5.185,
2008-10,4.676,
2009-01,4.664,
2009-04,5.539,
2009-07,5.113,
2009-10,4.804,
2010-01,4.901,
2010-04,9.234,
2010-07,6.483,
2010-10,5.188,
2011-01,8.591,
2011-04,9.373,
2011-07,7.514,
2011-10,7.320,
2012-01,11.521,
2012-04,13.295,
2012-07,8.052,
2012-10,8.437,
2013-01,8.164,
2013-04,8.619,
2013-07,7.334,
2013-10,6.964,
2014-01,7.965,
2014-04,7.067,
2014-07,6.987,
