"",BBK01.OEHB14Q,BBK01.OEHB14Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:50,
2002-01,1.162,
2002-04,1.123,
2002-07,1.093,
2002-10,1.088,
2003-01,1.151,
2003-04,1.087,
2003-07,1.035,
2003-10,0.970,
2004-01,0.984,
2004-04,0.968,
2004-07,0.946,
2004-10,0.881,
2005-01,0.916,
2005-04,0.937,
2005-07,0.905,
2005-10,0.836,
2006-01,0.864,
2006-04,0.860,
2006-07,0.833,
2006-10,0.794,
2007-01,0.806,
2007-04,0.798,
2007-07,0.768,
2007-10,0.733,
2008-01,0.757,
2008-04,0.740,
2008-07,0.735,
2008-10,0.749,
2009-01,0.750,
2009-04,0.757,
2009-07,0.744,
2009-10,0.703,
2010-01,0.722,
2010-04,0.731,
2010-07,0.648,
2010-10,0.598,
2011-01,0.585,
2011-04,0.581,
2011-07,0.556,
2011-10,0.556,
2012-01,0.561,
2012-04,0.556,
2012-07,0.502,
2012-10,0.497,
2013-01,0.516,
2013-04,0.516,
2013-07,0.495,
2013-10,0.475,
2014-01,0.466,
2014-04,0.472,
2014-07,0.448,
