"",BBK01.OECI08T,BBK01.OECI08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:11,
2002-01,0.569,
2002-04,0.370,
2002-07,0.372,
2002-10,0.406,
2003-01,0.417,
2003-04,0.416,
2003-07,0.441,
2003-10,0.435,
2004-01,0.431,
2004-04,0.430,
2004-07,0.458,
2004-10,0.575,
2005-01,1.328,
2005-04,1.318,
2005-07,1.310,
2005-10,1.315,
2006-01,1.298,
2006-04,1.266,
2006-07,1.238,
2006-10,1.227,
2007-01,1.231,
2007-04,1.221,
2007-07,1.190,
2007-10,1.201,
2008-01,1.184,
2008-04,1.200,
2008-07,1.167,
2008-10,1.147,
2009-01,1.197,
2009-04,1.240,
2009-07,1.326,
2009-10,1.370,
2010-01,1.383,
2010-04,1.388,
2010-07,1.406,
2010-10,1.413,
2011-01,1.407,
2011-04,1.365,
2011-07,1.325,
2011-10,1.330,
2012-01,1.420,
2012-04,1.394,
2012-07,1.403,
2012-10,1.454,
2013-01,1.429,
2013-04,1.417,
2013-07,1.402,
2013-10,1.398,
2014-01,1.384,
2014-04,1.365,
2014-07,1.406,
