"",BBK01.TQ7141,BBK01.TQ7141_FLAGS
"",Deposit takers - Foreign-currency-denominated loans FSI-S410,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-23 10:06:29,
2005-10,514530,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,547447,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,634593,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,702096,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,617860,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,621950,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,600641,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,565956,
2013-01,568443,
2013-04,557252,
2013-07,533625,
2013-10,510756,
2014-01,541655,
2014-04,567585,
2014-07,601996,
