"",BBDE1.M.DE.W.GUA1.P2XG75060.A.V.I10.A,BBDE1.M.DE.W.GUA1.P2XG75060.A.V.I10.A_FLAGS
"","Turnover / At current prices, flows / Germany / 47.51+47.71+47.72 Retail trade of textiles, clothing, footwear and leather goods in specialised stores / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:18:59,
1994-01,92.4,
1994-02,77.2,
1994-03,105.0,
1994-04,105.0,
1994-05,101.6,
1994-06,90.7,
1994-07,91.9,
1994-08,90.1,
1994-09,113.4,
1994-10,122.5,
1994-11,109.6,
1994-12,144.6,
1995-01,91.9,
1995-02,81.0,
1995-03,99.6,
1995-04,103.8,
1995-05,103.5,
1995-06,94.6,
1995-07,99.4,
1995-08,88.5,
1995-09,113.5,
1995-10,114.1,
1995-11,117.1,
1995-12,140.1,
1996-01,89.1,
1996-02,74.4,
1996-03,102.8,
1996-04,109.7,
1996-05,96.8,
1996-06,92.0,
1996-07,96.1,
1996-08,90.2,
1996-09,116.9,
1996-10,114.4,
1996-11,116.2,
1996-12,135.6,
1997-01,91.0,
1997-02,77.9,
1997-03,101.1,
1997-04,105.9,
1997-05,105.2,
1997-06,90.5,
1997-07,97.2,
1997-08,80.2,
1997-09,102.3,
1997-10,119.4,
1997-11,108.9,
1997-12,133.6,
1998-01,92.4,
1998-02,76.3,
1998-03,97.3,
1998-04,100.3,
1998-05,104.0,
1998-06,86.0,
1998-07,97.0,
1998-08,90.3,
1998-09,104.8,
1998-10,112.4,
1998-11,111.7,
1998-12,127.4,
1999-01,91.5,
1999-02,71.5,
1999-03,102.8,
1999-04,101.1,
1999-05,104.4,
1999-06,90.2,
1999-07,98.3,
1999-08,92.1,
1999-09,90.7,
1999-10,115.5,
1999-11,109.0,
1999-12,128.5,
2000-01,86.5,
2000-02,78.8,
2000-03,96.2,
2000-04,106.5,
2000-05,101.0,
2000-06,89.8,
2000-07,98.0,
2000-08,89.4,
2000-09,102.4,
2000-10,112.4,
2000-11,107.2,
2000-12,128.5,
2001-01,88.3,
2001-02,76.6,
2001-03,100.4,
2001-04,101.1,
2001-05,104.1,
2001-06,88.9,
2001-07,96.5,
2001-08,86.6,
2001-09,111.6,
2001-10,103.5,
2001-11,108.9,
2001-12,124.4,
2002-01,81.8,
2002-02,72.8,
2002-03,94.5,
2002-04,98.9,
2002-05,98.4,
2002-06,84.5,
2002-07,92.1,
2002-08,84.8,
2002-09,101.4,
2002-10,108.4,
2002-11,97.1,
2002-12,118.1,
2003-01,78.2,
2003-02,68.5,
2003-03,94.0,
2003-04,91.0,
2003-05,89.2,
2003-06,85.8,
2003-07,86.3,
2003-08,77.6,
2003-09,94.3,
2003-10,105.8,
2003-11,91.2,
2003-12,110.7,
2004-01,77.8,
2004-02,71.3,
2004-03,91.7,
2004-04,97.9,
2004-05,90.9,
2004-06,85.8,
2004-07,90.5,
2004-08,84.2,
2004-09,94.9,
2004-10,104.5,
2004-11,98.9,
2004-12,116.0,
2005-01,80.2,
2005-02,67.9,
2005-03,93.9,
2005-04,104.4,
2005-05,94.0,
2005-06,87.5,
2005-07,91.6,
2005-08,88.7,
2005-09,93.2,
2005-10,109.9,
2005-11,102.0,
2005-12,117.8,
2006-01,83.1,
2006-02,70.4,
2006-03,93.9,
2006-04,103.9,
2006-05,99.0,
2006-06,91.9,
2006-07,92.4,
2006-08,95.6,
2006-09,91.6,
2006-10,111.5,
2006-11,102.2,
2006-12,123.6,
2007-01,79.9,
2007-02,72.1,
2007-03,98.8,
2007-04,112.6,
2007-05,92.7,
2007-06,91.2,
2007-07,93.4,
2007-08,93.2,
2007-09,108.0,
2007-10,111.2,
2007-11,99.7,
2007-12,119.5,
2008-01,83.9,
2008-02,76.3,
2008-03,92.0,
2008-04,99.8,
2008-05,106.1,
2008-06,89.9,
2008-07,94.9,
2008-08,92.9,
2008-09,109.8,
2008-10,112.6,
2008-11,102.8,
2008-12,121.7,
2009-01,79.9,
2009-02,70.9,
2009-03,92.4,
2009-04,104.3,
2009-05,94.2,
2009-06,87.5,
2009-07,94.6,
2009-08,85.0,
2009-09,102.5,
2009-10,118.2,
2009-11,96.7,
2009-12,121.4,
2010-01,80.7,
2010-02,74.6,
2010-03,100.8,
2010-04,101.4,
2010-05,95.5,
2010-06,95.1,
2010-07,98.3,
2010-08,95.4,
2010-09,110.5,
2010-10,117.8,
2010-11,105.0,
2010-12,122.7,
2011-01,84.2,
2011-02,78.2,
2011-03,100.2,
2011-04,110.7,
2011-05,97.0,
2011-06,96.1,
2011-07,102.7,
2011-08,92.9,
2011-09,103.6,
2011-10,123.4,
2011-11,105.8,
2011-12,124.9,
2012-01,86.4,
2012-02,75.5,
2012-03,109.3,
2012-04,104.7,
2012-05,101.9,
2012-06,95.4,
2012-07,102.4,
2012-08,93.6,
2012-09,113.0,
2012-10,118.4,
2012-11,103.8,
2012-12,122.1,
2013-01,86.6,
2013-02,76.8,
2013-03,98.3,
2013-04,109.3,
2013-05,103.8,
2013-06,100.6,
2013-07,102.5,
2013-08,97.1,
2013-09,114.6,
2013-10,117.3,
2013-11,110.3,
2013-12,119.5,
2014-01,89.6,Provisional value
2014-02,82.0,Provisional value
2014-03,109.0,Provisional value
2014-04,104.2,Provisional value
2014-05,106.2,Provisional value
2014-06,101.3,Provisional value
2014-07,102.5,Provisional value
2014-08,105.6,Provisional value
2014-09,106.0,Provisional value
2014-10,114.0,Provisional value
2014-11,108.5,Provisional value
2014-12,124.4,Provisional value
