"",BBK01.OEAL04M,BBK01.OEAL04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:16,
2002-01,6.937,
2002-04,6.660,
2002-07,6.671,
2002-10,6.606,
2003-01,6.482,
2003-04,6.119,
2003-07,5.690,
2003-10,5.418,
2004-01,5.208,
2004-04,5.045,
2004-07,4.904,
2004-10,4.856,
2005-01,4.810,
2005-04,4.734,
2005-07,4.670,
2005-10,4.806,
2006-01,4.842,
2006-04,4.812,
2006-07,5.015,
2006-10,5.471,
2007-01,6.007,
2007-04,6.344,
2007-07,6.791,
2007-10,8.085,
2008-01,9.274,
2008-04,10.106,
2008-07,11.320,
2008-10,13.128,
2009-01,11.152,
2009-04,10.304,
2009-07,8.245,
2009-10,6.303,
2010-01,5.145,
2010-04,4.260,
2010-07,3.762,
2010-10,4.204,
2011-01,3.673,
2011-04,3.973,
2011-07,4.177,
2011-10,4.578,
2012-01,4.650,
2012-04,4.380,
2012-07,4.072,
2012-10,3.480,
2013-01,3.102,
2013-04,2.844,
2013-07,2.716,
2013-10,2.662,
2014-01,2.469,
2014-04,2.496,
2014-07,2.615,
