"",BBFN1.M.DE.N.1.L.BM.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BM.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Bermuda,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:17,
1975-12,0.016,
1976-01,0.016,
1976-02,0.040,
1976-03,0.049,
1976-04,0.056,
1976-05,0.056,
1976-06,0.048,
1976-07,0.041,
1976-08,0.045,
1976-09,0.048,
1976-10,0.046,
1976-11,0.046,
1976-12,0.082,
1977-01,0.005,
1977-02,0.035,
1977-03,0.030,
1977-04,0.030,
1977-05,0.031,
1977-06,0.031,
1977-07,0.124,
1977-08,0.097,
1977-09,0.097,
1977-10,0.132,
1977-11,0.132,
1977-12,0.195,
1978-01,0.136,
1978-02,0.119,
1978-03,0.119,
1978-04,0.120,
1978-05,0.121,
1978-06,0.019,
1978-07,0.017,
1978-08,0.016,
1978-09,0.020,
1978-10,0.023,
1978-11,0.020,
1978-12,0.060,
1979-01,0.033,
1979-02,0.042,
1979-03,0.042,
1979-04,0.043,
1979-05,0.044,
1979-06,0.044,
1979-07,0.043,
1979-08,0.042,
1979-09,0.042,
1979-10,0.027,
1979-11,0.029,
1979-12,0.034,
1980-01,0.043,
1980-02,0.104,
1980-03,0.042,
1980-04,0.044,
1980-05,0.045,
1980-06,0.045,
1980-07,0.041,
1980-08,0.041,
1980-09,0.040,
1980-10,0.042,
1980-11,0.044,
1980-12,0.046,
1981-01,0.052,
1981-02,0.171,
1981-03,0.193,
1981-04,0.201,
1981-05,0.210,
1981-06,0.081,
1981-07,0.127,
1981-08,0.130,
1981-09,0.128,
1981-10,0.125,
1981-11,0.195,
1981-12,0.203,
1982-01,0.202,
1982-02,0.142,
1982-03,0.116,
1982-04,0.116,
1982-05,0.115,
1982-06,0.172,
1982-07,0.172,
1982-08,0.181,
1982-09,0.144,
1982-10,0.144,
1982-11,0.146,
1982-12,0.167,
1983-01,0.327,
1983-02,0.150,
1983-03,0.305,
1983-04,0.306,
1983-05,0.283,
1983-06,0.264,
1983-07,0.264,
1983-08,0.254,
1983-09,0.225,
1983-10,0.245,
1983-11,0.248,
1983-12,0.204,
1984-01,0.112,
1984-02,0.086,
1984-03,0.059,
1984-04,0.055,
1984-05,0.060,
1984-06,0.060,
1984-07,0.074,
1984-08,0.067,
1984-09,0.072,
1984-10,0.071,
1984-11,0.069,
1984-12,0.072,
1985-01,0.074,
1985-02,0.077,
1985-03,0.079,
1985-04,0.075,
1985-05,0.062,
1985-06,0.061,
1985-07,0.056,
1985-08,0.055,
1985-09,0.056,
1985-10,0.058,
1985-11,0.057,
1985-12,0.054,
1986-01,0.053,
1986-02,0.049,
1986-03,0.048,
1986-04,0.049,
1986-05,0.046,
1986-06,0.046,
1986-07,0.048,
1986-08,0.048,
1986-09,0.051,
1986-10,0.054,
1986-11,0.052,
1986-12,0.058,
1987-01,0.049,
1987-02,0.050,
1987-03,0.055,
1987-04,0.050,
1987-05,0.049,
1987-06,0.050,
1987-07,0.052,
1987-08,0.056,
1987-09,0.055,
1987-10,0.058,
1987-11,0.058,
1987-12,0.059,
1988-01,0.061,
1988-02,0.062,
1988-03,0.066,
1988-04,0.080,
1988-05,0.125,
1988-06,0.121,
1988-07,0.127,
1988-08,0.128,
1988-09,0.258,
1988-10,0.259,
1988-11,0.208,
1988-12,0.017,
1989-01,0.017,
1989-02,0.013,
1989-03,0.016,
1989-04,0.037,
1989-05,0.050,
1989-06,0.035,
1989-07,0.171,
1989-08,0.173,
1989-09,0.040,
1989-10,0.159,
1989-11,0.103,
1989-12,0.045,
1990-01,0.032,
1990-02,0.038,
1990-03,0.038,
1990-04,0.049,
1990-05,0.079,
1990-06,0.080,
1990-07,0.077,
1990-08,0.078,
1990-09,0.070,
1990-10,0.047,
1990-11,0.055,
1990-12,0.080,
1991-01,0.071,
1991-02,0.051,
1991-03,0.052,
1991-04,0.056,
1991-05,0.292,
1991-06,0.339,
1991-07,0.332,
1991-08,0.341,
1991-09,0.341,
1991-10,0.337,
1991-11,0.122,
1991-12,0.080,
1992-01,0.094,
1992-02,0.343,
1992-03,0.311,
1992-04,0.377,
1992-05,0.387,
1992-06,0.380,
1992-07,0.407,
1992-08,0.406,
1992-09,0.404,
1992-10,0.393,
1992-11,0.617,
1992-12,0.578,
1993-01,0.419,
1993-02,0.621,
1993-03,0.243,
1993-04,0.268,
1993-05,0.249,
1993-06,0.248,
1993-07,0.268,
1993-08,0.278,
1993-09,0.266,
1993-10,0.277,
1993-11,0.300,
1993-12,0.245,
1994-01,0.250,
1994-02,0.270,
1994-03,0.230,
1994-04,0.266,
1994-05,0.316,
1994-06,0.306,
1994-07,0.260,
1994-08,0.143,
1994-09,0.143,
1994-10,0.168,
1994-11,0.139,
1994-12,0.139,
1995-01,0.116,
1995-02,0.117,
1995-03,0.128,
1995-04,0.122,
1995-05,0.133,
1995-06,0.120,
1995-07,0.110,
1995-08,0.111,
1995-09,0.112,
1995-10,0.113,
1995-11,0.115,
1995-12,0.476,
1996-01,0.141,
1996-02,0.088,
1996-03,0.176,
1996-04,0.177,
1996-05,0.177,
1996-06,0.279,
1996-07,0.228,
1996-08,0.179,
1996-09,0.185,
1996-10,0.187,
1996-11,0.191,
1996-12,0.213,
1997-01,0.214,
1997-02,0.212,
1997-03,0.226,
1997-04,0.199,
1997-05,0.203,
1997-06,0.557,
1997-07,0.501,
1997-08,0.489,
1997-09,0.493,
1997-10,0.497,
