"",BBK01.OEAA37P,BBK01.OEAA37P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:01,
2002-01,9.718,
2002-04,9.789,
2002-07,9.820,
2002-10,9.949,
2003-01,10.178,
2003-04,10.259,
2003-07,10.319,
2003-10,10.328,
2004-01,10.408,
2004-04,10.559,
2004-07,10.681,
2004-10,10.656,
2005-01,10.796,
2005-04,10.823,
2005-07,10.932,
2005-10,10.978,
2006-01,11.043,
2006-04,11.119,
2006-07,11.197,
2006-10,11.243,
2007-01,11.254,
2007-04,11.287,
2007-07,11.385,
2007-10,11.432,
2008-01,11.381,
2008-04,11.359,
2008-07,11.332,
2008-10,11.251,
2009-01,11.213,
2009-04,11.530,
2009-07,11.507,
2009-10,11.473,
2010-01,11.417,
2010-04,11.502,
2010-07,11.532,
2010-10,11.565,
2011-01,11.634,
2011-04,11.726,
2011-07,11.831,
2011-10,11.862,
2012-01,11.879,
2012-04,12.052,
2012-07,12.118,
2012-10,12.139,
2013-01,12.161,
2013-04,12.208,
2013-07,12.257,
2013-10,12.245,
2014-01,12.212,
2014-04,12.261,
2014-07,12.307,
