"",BBSF2.M.1.T.00000.GEF01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.GEF01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Funds total / Mixed funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:03,
2009-09,393,
2009-10,462,
2009-11,410,
2009-12,129,
2010-01,142,
2010-02,177,
2010-03,151,
2010-04,184,
2010-05,149,
2010-06,129,
2010-07,145,
2010-08,173,
2010-09,151,
2010-10,162,
2010-11,155,
2010-12,206,
2011-01,168,
2011-02,199,
2011-03,338,
2011-04,385,
2011-05,436,
2011-06,443,
2011-07,496,
2011-08,428,
2011-09,495,
2011-10,495,
2011-11,491,
2011-12,745,
2012-01,845,
2012-02,901,
2012-03,790,
2012-04,1991,
2012-05,2007,
2012-06,2017,
2012-07,1723,
2012-08,1500,
2012-09,1678,
2012-10,1425,
2012-11,860,
2012-12,942,
2013-01,824,
2013-02,797,
2013-03,835,
2013-04,983,
2013-05,1020,
2013-06,1007,
2013-07,957,
2013-08,1045,
2013-09,1046,
2013-10,1178,
2013-11,1150,
2013-12,863,
2014-01,866,
2014-02,2383,
2014-03,2444,
2014-04,2150,
2014-05,1664,
2014-06,1625,
2014-07,1587,
2014-08,630,
2014-09,606,
2014-10,383,
2014-11,265,
