"",BBK01.BQM205,BBK01.BQM205_FLAGS
"","State government debt - of which securities other than shares, excl. financial derivates - of which short-term",
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:33,
2000-01,378,
2000-04,75,
2000-07,75,
2000-10,100,
2001-01,0,
2001-04,90,
2001-07,1750,
2001-10,1900,
2002-01,900,
2002-04,862,
2002-07,458,
2002-10,588,
2003-01,545,
2003-04,749,
2003-07,532,
2003-10,787,
2004-01,746,
2004-04,1677,
2004-07,1629,
2004-10,1282,
2005-01,1095,
2005-04,1193,
2005-07,1194,
2005-10,847,
2006-01,752,
2006-04,523,
2006-07,123,
2006-10,36,
2007-01,5,
2007-04,39,
2007-07,1764,
2007-10,2044,
2008-01,1633,
2008-04,2478,
2008-07,2230,
2008-10,3825,
2009-01,5411,
2009-04,3161,
2009-07,2461,
2009-10,1859,
2010-01,400,Provisional value
2010-04,4310,Provisional value
2010-07,4855,Provisional value
2010-10,1070,Provisional value
2011-01,4674,Provisional value
2011-04,9078,Provisional value
2011-07,10413,Provisional value
2011-10,12404,Provisional value
2012-01,17291,Provisional value
2012-04,23879,Provisional value
2012-07,18497,Provisional value
2012-10,18802,Provisional value
2013-01,17947,Provisional value
2013-04,13783,Provisional value
2013-07,8393,Provisional value
2013-10,6847,Provisional value
2014-01,8303,Provisional value
2014-04,7993,Provisional value
2014-07,9406,Provisional value
