"",BBK01.OEAA50J,BBK01.OEAA50J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:50,
2002-01,0.191,
2002-04,0.183,
2002-07,0.209,
2002-10,0.222,
2003-01,0.104,
2003-04,0.102,
2003-07,0.123,
2003-10,0.195,
2004-01,0.180,
2004-04,0.200,
2004-07,0.166,
2004-10,0.157,
2005-01,0.323,
2005-04,0.215,
2005-07,0.237,
2005-10,0.225,
2006-01,0.180,
2006-04,0.200,
2006-07,0.177,
2006-10,0.263,
2007-01,0.277,
2007-04,0.284,
2007-07,0.374,
2007-10,0.415,
2008-01,0.320,
2008-04,0.368,
2008-07,0.296,
2008-10,0.296,
2009-01,0.246,
2009-04,0.234,
2009-07,0.222,
2009-10,0.508,
2010-01,0.502,
2010-04,0.445,
2010-07,0.493,
2010-10,0.431,
2011-01,0.459,
2011-04,0.491,
2011-07,0.381,
2011-10,0.421,
2012-01,0.456,
2012-04,0.435,
2012-07,0.421,
2012-10,0.456,
2013-01,0.468,
2013-04,0.437,
2013-07,0.417,
2013-10,0.461,
2014-01,0.472,
2014-04,0.470,
2014-07,0.488,
