"",BBDE1.M.DE.Y.AEB5.A2R260050.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2R260050.F.C.I10.A_FLAGS
"","Orders received from abroad / At constant prices / Germany / 26+27 Manufacture of computer, electronic, optical products and of electrical equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:19,
1991-01,41.2,
1991-02,40.0,
1991-03,38.9,
1991-04,41.9,
1991-05,42.7,
1991-06,37.0,
1991-07,39.4,
1991-08,37.0,
1991-09,37.6,
1991-10,40.0,
1991-11,38.0,
1991-12,41.9,
1992-01,41.6,
1992-02,37.9,
1992-03,43.9,
1992-04,39.6,
1992-05,36.4,
1992-06,36.8,
1992-07,37.4,
1992-08,38.9,
1992-09,35.5,
1992-10,36.5,
1992-11,40.4,
1992-12,36.0,
1993-01,34.9,
1993-02,36.6,
1993-03,35.5,
1993-04,35.3,
1993-05,35.4,
1993-06,36.7,
1993-07,36.8,
1993-08,37.0,
1993-09,35.9,
1993-10,34.6,
1993-11,34.2,
1993-12,39.2,
1994-01,34.3,
1994-02,35.5,
1994-03,37.2,
1994-04,35.9,
1994-05,36.6,
1994-06,36.5,
1994-07,36.5,
1994-08,36.0,
1994-09,41.0,
1994-10,39.3,
1994-11,41.0,
1994-12,45.2,
1995-01,40.6,
1995-02,40.5,
1995-03,40.2,
1995-04,39.2,
1995-05,38.4,
1995-06,36.6,
1995-07,40.8,
1995-08,35.4,
1995-09,42.7,
1995-10,35.4,
1995-11,34.7,
1995-12,39.9,
1996-01,40.2,
1996-02,39.4,
1996-03,41.7,
1996-04,37.7,
1996-05,40.4,
1996-06,39.4,
1996-07,39.8,
1996-08,41.5,
1996-09,42.5,
1996-10,41.6,
1996-11,43.4,
1996-12,43.7,
1997-01,44.1,
1997-02,42.4,
1997-03,46.7,
1997-04,46.7,
1997-05,44.6,
1997-06,49.2,
1997-07,46.5,
1997-08,49.1,
1997-09,49.8,
1997-10,48.3,
1997-11,50.1,
1997-12,48.3,
1998-01,47.7,
1998-02,47.1,
1998-03,48.0,
1998-04,49.3,
1998-05,47.4,
1998-06,47.8,
1998-07,50.2,
1998-08,48.6,
1998-09,54.0,
1998-10,46.9,
1998-11,49.1,
1998-12,48.5,
1999-01,49.1,
1999-02,51.7,
1999-03,51.3,
1999-04,47.7,
1999-05,53.3,
1999-06,52.3,
1999-07,59.6,
1999-08,60.0,
1999-09,58.7,
1999-10,59.6,
1999-11,58.6,
1999-12,64.7,
2000-01,60.3,
2000-02,65.5,
2000-03,70.8,
2000-04,68.6,
2000-05,72.2,
2000-06,78.1,
2000-07,70.7,
2000-08,83.0,
2000-09,79.6,
2000-10,75.3,
2000-11,69.9,
2000-12,71.1,
2001-01,63.9,
2001-02,66.0,
2001-03,64.4,
2001-04,56.5,
2001-05,70.7,
2001-06,67.4,
2001-07,62.0,
2001-08,60.8,
2001-09,55.0,
2001-10,57.5,
2001-11,60.6,
2001-12,66.6,
2002-01,59.0,
2002-02,64.2,
2002-03,64.4,
2002-04,63.4,
2002-05,66.0,
2002-06,63.4,
2002-07,58.6,
2002-08,62.0,
2002-09,64.7,
2002-10,63.4,
2002-11,67.6,
2002-12,61.4,
2003-01,66.1,
2003-02,61.2,
2003-03,63.3,
2003-04,61.8,
2003-05,59.5,
2003-06,63.4,
2003-07,66.0,
2003-08,66.8,
2003-09,72.1,
2003-10,67.6,
2003-11,69.9,
2003-12,69.7,
2004-01,69.1,
2004-02,74.7,
2004-03,70.7,
2004-04,71.9,
2004-05,76.8,
2004-06,75.2,
2004-07,78.2,
2004-08,75.0,
2004-09,74.4,
2004-10,74.8,
2004-11,74.3,
2004-12,75.6,
2005-01,78.0,
2005-02,75.2,
2005-03,79.1,
2005-04,79.9,
2005-05,80.9,
2005-06,84.4,
2005-07,84.5,
2005-08,86.2,
2005-09,86.4,
2005-10,85.7,
2005-11,89.6,
2005-12,89.8,
2006-01,90.2,
2006-02,95.4,
2006-03,97.0,
2006-04,97.5,
2006-05,96.9,
2006-06,96.8,
2006-07,97.2,
2006-08,99.0,
2006-09,100.8,
2006-10,103.2,
2006-11,99.5,
2006-12,101.9,
2007-01,100.6,
2007-02,101.8,
2007-03,113.1,
2007-04,101.7,
2007-05,108.7,
2007-06,110.7,
2007-07,105.8,
2007-08,106.5,
2007-09,112.2,
2007-10,117.5,
2007-11,109.6,
2007-12,112.4,
2008-01,109.6,
2008-02,107.9,
2008-03,108.4,
2008-04,108.2,
2008-05,108.3,
2008-06,100.7,
2008-07,100.0,
2008-08,104.4,
2008-09,95.4,
2008-10,101.0,
2008-11,98.2,
2008-12,87.6,
2009-01,80.0,
2009-02,77.9,
2009-03,80.9,
2009-04,76.7,
2009-05,77.1,
2009-06,80.6,
2009-07,82.4,
2009-08,82.9,
2009-09,88.7,
2009-10,87.4,
2009-11,89.1,
2009-12,89.7,
2010-01,91.6,
2010-02,90.3,
2010-03,90.2,
2010-04,95.3,
2010-05,98.0,
2010-06,97.7,
2010-07,99.9,
2010-08,99.8,
2010-09,97.1,
2010-10,103.3,
2010-11,123.5,
2010-12,110.4,
2011-01,109.4,
2011-02,108.2,
2011-03,109.1,
2011-04,107.0,
2011-05,103.7,
2011-06,104.9,
2011-07,111.8,
2011-08,108.2,
2011-09,108.0,
2011-10,101.5,
2011-11,102.0,
2011-12,112.4,
2012-01,102.7,
2012-02,108.8,
2012-03,100.6,
2012-04,100.6,
2012-05,107.5,
2012-06,102.4,
2012-07,101.7,
2012-08,104.7,
2012-09,102.3,
2012-10,102.8,
2012-11,100.9,
2012-12,99.5,
2013-01,102.1,
2013-02,101.2,
2013-03,111.0,
2013-04,102.9,
2013-05,102.4,
2013-06,105.6,
2013-07,102.0,
2013-08,101.5,
2013-09,103.0,
2013-10,116.3,
2013-11,111.5,
2013-12,104.5,
2014-01,106.5,
2014-02,107.9,
2014-03,107.3,
2014-04,112.0,
2014-05,107.8,
2014-06,106.6,
2014-07,108.9,
2014-08,106.8,
2014-09,107.2,
2014-10,113.9,
2014-11,115.5,
2014-12,110.8,Provisional value
