"",BBK01.CELCN01,BBK01.CELCN01_FLAGS
"",Financial derivatives debtor: Rest of the world                                                          creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:16,
1999-01,9.0,
1999-04,9.0,
1999-07,-0.3,
1999-10,-0.3,
2000-01,0.3,
2000-04,0.3,
2000-07,10.7,
2000-10,10.7,
2001-01,7.1,
2001-04,7.1,
2001-07,13.1,
2001-10,13.1,
2002-01,7.0,
2002-04,7.6,
2002-07,14.5,
2002-10,6.2,
2003-01,13.3,
2003-04,10.3,
2003-07,-10.0,
2003-10,-8.6,
2004-01,28.4,
2004-04,-15.3,
2004-07,-1.0,
2004-10,-116.8,
2005-01,14.8,
2005-04,-12.8,
2005-07,123.7,
2005-10,92.3,
2006-01,117.7,
2006-04,97.8,
2006-07,62.9,
2006-10,73.7,
2007-01,27.9,
2007-04,20.4,
2007-07,-23.9,
2007-10,0.5,
2008-01,32.4,
2008-04,-195.5,
2008-07,-146.4,
2008-10,-231.4,
2009-01,285.5,
2009-04,-304.6,
2009-07,30.0,
2009-10,5.2,
2010-01,-16.2,
2010-04,122.0,
2010-07,9.9,
2010-10,-211.1,
2011-01,-56.7,
2011-04,41.1,
2011-07,239.4,
2011-10,-261.7,
2012-01,-100.1,
2012-04,101.0,
2012-07,-12.4,
2012-10,-43.8,
2013-01,30.2,
2013-04,-15.4,
2013-07,14.0,
2013-10,-3.6,
2014-01,-21.4,
2014-04,28.5,
2014-07,70.8,
