"",BBK01.OEXI06M,BBK01.OEXI06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:02,
2002-01,0.620,
2002-04,0.646,
2002-07,0.673,
2002-10,0.651,
2003-01,0.668,
2003-04,0.764,
2003-07,0.864,
2003-10,0.911,
2004-01,0.965,
2004-04,0.962,
2004-07,1.071,
2004-10,1.313,
2005-01,1.400,
2005-04,1.702,
2005-07,1.704,
2005-10,1.749,
2006-01,1.800,
2006-04,1.824,
2006-07,1.906,
2006-10,1.941,
2007-01,1.928,
2007-04,1.795,
2007-07,1.806,
2007-10,1.912,
2008-01,1.972,
2008-04,1.947,
2008-07,1.744,
2008-10,1.933,
2009-01,2.594,
2009-04,3.063,
2009-07,3.256,
2009-10,3.785,
2010-01,4.174,
2010-04,4.349,
2010-07,4.465,
2010-10,4.624,
2011-01,4.664,
2011-04,4.880,
2011-07,4.886,
2011-10,4.909,
2012-01,4.417,
2012-04,4.325,
2012-07,4.272,
2012-10,3.752,
2013-01,3.157,
2013-04,2.774,
2013-07,2.510,
2013-10,2.416,
2014-01,2.128,
2014-04,1.503,
2014-07,1.221,
