"",BBSF2.M.1.S.00000.GEF01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net asset value,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:36,
2004-01,669,
2004-02,674,
2004-03,673,
2004-04,770,
2004-05,767,
2004-06,819,
2004-07,819,
2004-08,826,
2004-09,867,
2004-10,871,
2004-11,967,
2004-12,1475,
2005-01,2776,
2005-02,4936,
2005-03,9353,
2005-04,9793,
2005-05,10860,
2005-06,11538,
2005-07,13868,
2005-08,15826,
2005-09,19398,
2005-10,22275,
2005-11,27367,
2005-12,34169,
2006-01,42388,
2006-02,43998,
2006-03,45074,
2006-04,47648,
2006-05,50045,
2006-06,56068,
2006-07,56824,
2006-08,60299,
2006-09,62972,
2006-10,63393,
2006-11,64240,
2006-12,64936,
2007-01,66390,
2007-02,68211,
2007-03,68114,
2007-04,65124,
2007-05,67216,
2007-06,69494,
2007-07,68864,
2007-08,68316,
2007-09,68686,
2007-10,74228,
2007-11,73392,
2007-12,66970,
2008-01,65780,
2008-02,65798,
2008-03,64360,
2008-04,65751,
2008-05,67298,
2008-06,64665,
2008-07,75891,
2008-08,77429,
2008-09,76506,
2008-10,73057,
2008-11,75860,
2008-12,75637,
2009-01,78101,
2009-02,77039,
2009-03,78196,
2009-04,98623,
2009-05,118890,
2009-06,119376,
2009-07,123832,
2009-08,126303,
2009-09,141337,
2009-10,141648,
2009-11,141895,
2009-12,143498,
2010-01,145013,
2010-02,146446,
2010-03,148657,
2010-04,152954,
2010-05,155810,
2010-06,155082,
2010-07,158789,
2010-08,161997,
2010-09,166083,
2010-10,166844,
2010-11,165337,
2010-12,159065,
2011-01,158757,
2011-02,159652,
2011-03,158900,
2011-04,162278,
2011-05,163144,
2011-06,162406,
2011-07,165096,
2011-08,161712,
2011-09,161059,
2011-10,162866,
2011-11,162196,
2011-12,164277,
2012-01,168939,
2012-02,178085,
2012-03,178536,
2012-04,182262,
2012-05,181357,
2012-06,185300,
2012-07,190495,
2012-08,192312,
2012-09,193232,
2012-10,194255,
2012-11,194773,
2012-12,196032,
2013-01,197810,
2013-02,199059,
2013-03,199228,
2013-04,202490,
2013-05,200609,
2013-06,196830,
2013-07,203298,
2013-08,201561,
2013-09,205316,
2013-10,210127,
2013-11,210853,
2013-12,208609,
2014-01,209843,
2014-02,213745,
2014-03,214750,
2014-04,217406,
2014-05,221213,
2014-06,223035,
2014-07,222037,
2014-08,203338,
2014-09,204077,
2014-10,215714,
2014-11,220932,
