"",BBK01.OELI06S,BBK01.OELI06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:02,
2002-01,0.306,
2002-04,0.298,
2002-07,0.304,
2002-10,0.304,
2003-01,0.297,
2003-04,0.291,
2003-07,0.272,
2003-10,0.261,
2004-01,0.248,
2004-04,0.242,
2004-07,0.233,
2004-10,0.234,
2005-01,0.230,
2005-04,0.225,
2005-07,0.220,
2005-10,0.216,
2006-01,0.211,
2006-04,0.216,
2006-07,0.215,
2006-10,0.210,
2007-01,0.217,
2007-04,0.218,
2007-07,0.228,
2007-10,0.241,
2008-01,0.263,
2008-04,0.277,
2008-07,0.294,
2008-10,0.313,
2009-01,0.285,
2009-04,0.253,
2009-07,0.235,
2009-10,0.221,
2010-01,0.222,
2010-04,0.212,
2010-07,0.205,
2010-10,0.197,
2011-01,0.196,
2011-04,0.202,
2011-07,0.201,
2011-10,0.202,
2012-01,0.212,
2012-04,0.208,
2012-07,0.197,
2012-10,0.183,
2013-01,0.164,
2013-04,0.159,
2013-07,0.151,
2013-10,0.142,
2014-01,0.126,
2014-04,0.115,
2014-07,0.105,
