"",BBK01.OEHK03H,BBK01.OEHK03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:36,
2002-01,1.799,
2002-04,1.753,
2002-07,1.770,
2002-10,1.772,
2003-01,1.726,
2003-04,1.641,
2003-07,1.565,
2003-10,1.459,
2004-01,1.328,
2004-04,1.227,
2004-07,1.167,
2004-10,1.143,
2005-01,1.115,
2005-04,1.089,
2005-07,1.028,
2005-10,1.072,
2006-01,1.083,
2006-04,1.089,
2006-07,1.190,
2006-10,1.288,
2007-01,1.402,
2007-04,1.395,
2007-07,1.645,
2007-10,1.891,
2008-01,1.978,
2008-04,2.146,
2008-07,2.419,
2008-10,2.872,
2009-01,1.927,
2009-04,1.423,
2009-07,1.088,
2009-10,0.839,
2010-01,0.797,
2010-04,0.739,
2010-07,0.739,
2010-10,0.767,
2011-01,0.747,
2011-04,0.710,
2011-07,0.737,
2011-10,0.828,
2012-01,0.807,
2012-04,0.753,
2012-07,0.687,
2012-10,0.522,
2013-01,0.487,
2013-04,0.398,
2013-07,0.391,
2013-10,0.382,
2014-01,0.363,
2014-04,0.337,
2014-07,0.325,
