"",BBK01.OEAN04J,BBK01.OEAN04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:54,
2002-01,3.218,
2002-04,3.174,
2002-07,3.196,
2002-10,3.341,
2003-01,3.497,
2003-04,3.503,
2003-07,3.688,
2003-10,4.031,
2004-01,4.114,
2004-04,4.207,
2004-07,4.649,
2004-10,4.518,
2005-01,4.816,
2005-04,4.895,
2005-07,4.876,
2005-10,5.019,
2006-01,5.056,
2006-04,5.007,
2006-07,4.913,
2006-10,4.817,
2007-01,4.588,
2007-04,4.401,
2007-07,4.221,
2007-10,4.163,
2008-01,3.853,
2008-04,3.706,
2008-07,3.540,
2008-10,3.566,
2009-01,3.642,
2009-04,3.606,
2009-07,3.683,
2009-10,3.810,
2010-01,3.858,
2010-04,3.811,
2010-07,3.789,
2010-10,3.806,
2011-01,3.783,
2011-04,3.718,
2011-07,3.693,
2011-10,3.717,
2012-01,3.839,
2012-04,3.875,
2012-07,3.881,
2012-10,3.967,
2013-01,3.975,
2013-04,3.951,
2013-07,3.943,
2013-10,3.975,
2014-01,3.844,
2014-04,3.777,
2014-07,3.615,
