"",BBK01.OEAD16H,BBK01.OEAD16H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:48,
2002-01,1.964,
2002-04,2.068,
2002-07,2.600,
2002-10,2.230,
2003-01,1.543,
2003-04,1.615,
2003-07,1.459,
2003-10,1.584,
2004-01,1.562,
2004-04,1.694,
2004-07,1.334,
2004-10,1.607,
2005-01,1.646,
2005-04,1.457,
2005-07,1.563,
2005-10,1.205,
2006-01,1.368,
2006-04,1.549,
2006-07,1.496,
2006-10,1.436,
2007-01,1.275,
2007-04,1.348,
2007-07,1.665,
2007-10,1.700,
2008-01,1.715,
2008-04,2.231,
2008-07,2.460,
2008-10,2.666,
2009-01,4.118,
2009-04,2.483,
2009-07,2.111,
2009-10,1.394,
2010-01,1.311,
2010-04,1.444,
2010-07,1.423,
2010-10,1.185,
2011-01,1.389,
2011-04,1.681,
2011-07,1.587,
2011-10,1.610,
2012-01,1.708,
2012-04,1.902,
2012-07,1.999,
2012-10,1.809,
2013-01,1.786,
2013-04,2.016,
2013-07,1.918,
2013-10,1.815,
2014-01,1.719,
2014-04,1.985,
2014-07,1.964,
