"",BBK01.OEAN03O,BBK01.OEAN03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:05,
2002-01,5.351,
2002-04,5.214,
2002-07,5.125,
2002-10,5.314,
2003-01,5.267,
2003-04,5.276,
2003-07,5.219,
2003-10,5.395,
2004-01,5.197,
2004-04,5.225,
2004-07,5.179,
2004-10,5.264,
2005-01,7.769,
2005-04,7.568,
2005-07,7.700,
2005-10,7.698,
2006-01,7.571,
2006-04,7.353,
2006-07,7.080,
2006-10,7.012,
2007-01,6.660,
2007-04,6.424,
2007-07,6.187,
2007-10,6.177,
2008-01,5.909,
2008-04,5.687,
2008-07,5.391,
2008-10,5.388,
2009-01,5.422,
2009-04,5.442,
2009-07,5.547,
2009-10,5.911,
2010-01,5.980,
2010-04,6.218,
2010-07,6.290,
2010-10,6.378,
2011-01,6.401,
2011-04,6.450,
2011-07,6.372,
2011-10,6.437,
2012-01,6.516,
2012-04,6.557,
2012-07,6.689,
2012-10,6.881,
2013-01,7.170,
2013-04,7.249,
2013-07,7.349,
2013-10,7.484,
2014-01,7.882,
2014-04,8.037,
2014-07,8.178,
