"",BBFB1.Q.N.DE.RU.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:33,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,267.998,
1992-07,471.999,
1992-10,401.127,
1993-01,409.822,
1993-04,470.876,
1993-07,527.030,
1993-10,618.925,
1994-01,458.358,
1994-04,387.459,
1994-07,465.246,
1994-10,379.383,
1995-01,194.003,
1995-04,303.109,
1995-07,174.745,
1995-10,250.253,
1996-01,123.019,
1996-04,115.548,
1996-07,140.201,
1996-10,128.903,
1997-01,79.137,
1997-04,76.514,
1997-07,78.617,
1997-10,70.627,
1998-01,74.684,
1998-04,44.496,
1998-07,37.874,
1998-10,57.525,
1999-01,40.937,
1999-04,76.640,
1999-07,91.913,
1999-10,157.663,
2000-01,38.247,
2000-04,50.806,
2000-07,46.342,
2000-10,74.083,
2001-01,46.199,
2001-04,49.735,
2001-07,53.871,
2001-10,64.939,
2002-01,54.183,
2002-04,86.763,
2002-07,55.372,
2002-10,72.488,
2003-01,46.565,
2003-04,69.759,
2003-07,55.636,
2003-10,68.370,
2004-01,52.484,
2004-04,70.299,
2004-07,54.982,
2004-10,196.227,
2005-01,74.647,
2005-04,71.801,
2005-07,73.435,
2005-10,70.745,
2006-01,46.300,
2006-04,63.597,
2006-07,58.560,
2006-10,43.332,
2007-01,37.386,
2007-04,41.539,
2007-07,54.429,
2007-10,43.819,
2008-01,48.852,
2008-04,51.158,
2008-07,63.681,
2008-10,113.992,
2009-01,58.770,
2009-04,58.297,
2009-07,58.299,
2009-10,40.937,
2010-01,49.998,
2010-04,96.281,
2010-07,73.404,
2010-10,82.776,
2011-01,103.898,
2011-04,46.585,
2011-07,51.043,
2011-10,41.527,
2012-01,52.624,
2012-04,52.626,
2012-07,63.589,
2012-10,49.665,
2013-01,40.955,
2013-04,52.659,
2013-07,46.536,
2013-10,33.546,
2014-01,45.674,Provisional value
2014-04,36.235,Provisional value
2014-07,44.582,Provisional value
