"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F4.T._T.N.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F4.T._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Loans / Monetary financial institutions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:30,
1991-01,1412.089,
1991-02,1191.213,
1991-03,753.152,
1991-04,1593.956,
1991-05,1843.843,
1991-06,1498.330,
1991-07,452.748,
1991-08,1558.357,
1991-09,317.924,
1991-10,348.652,
1991-11,1520.144,
1991-12,-1186.066,
1992-01,1303.914,
1992-02,1348.228,
1992-03,-133.918,
1992-04,108.447,
1992-05,804.723,
1992-06,-247.603,
1992-07,-857.948,
1992-08,-669.762,
1992-09,1572.526,
1992-10,1046.922,
1992-11,-18.296,
1992-12,1524.313,
1993-01,1157.706,
1993-02,2713.025,
1993-03,902.989,
1993-04,-272.430,
1993-05,1774.610,
1993-06,1177.516,
1993-07,3195.506,
1993-08,1552.121,
1993-09,-793.037,
1993-10,1963.670,
1993-11,2909.213,
1993-12,6864.178,
1994-01,935.271,
1994-02,-2854.783,
1994-03,2025.172,
1994-04,-727.887,
1994-05,2093.725,
1994-06,-2105.222,
1994-07,-1100.007,
1994-08,3717.817,
1994-09,-707.026,
1994-10,-372.842,
1994-11,2364.060,
1994-12,937.953,
1995-01,-965.670,
1995-02,1614.133,
1995-03,-961.372,
1995-04,994.360,
1995-05,3432.823,
1995-06,1882.570,
1995-07,274.516,
1995-08,3475.563,
1995-09,579.858,
1995-10,2536.545,
1995-11,-153.381,
1995-12,2094.419,
1996-01,2129.690,
1996-02,835.152,
1996-03,1400.164,
1996-04,2114.925,
1996-05,3108.007,
1996-06,389.203,
1996-07,-1132.433,
1996-08,348.017,
1996-09,-1287.175,
1996-10,2876.626,
1996-11,3203.886,
1996-12,2324.435,
1997-01,3973.142,
1997-02,4697.057,
1997-03,758.683,
1997-04,2094.559,
1997-05,2322.050,
1997-06,4614.820,
1997-07,3239.399,
1997-08,3690.834,
1997-09,790.620,
1997-10,4475.845,
1997-11,2664.039,
1997-12,10685.412,
1998-01,-1486.605,
1998-02,6354.306,
1998-03,4647.916,
1998-04,2313.038,
1998-05,4198.577,
1998-06,3644.384,
1998-07,2413.997,
1998-08,7203.965,
1998-09,6133.932,
1998-10,-7122.081,
1998-11,1075.242,
1998-12,-947.983,
1999-01,10189.632,
1999-02,-4247.180,
1999-03,6565.081,
1999-04,7241.327,
