"",BBK01.CE3K0I,BBK01.CE3K0I_FLAGS
"",Net financial assets debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:15,
1991-01,983.0,
1991-04,1005.5,
1991-07,1008.2,
1991-10,1096.6,
1992-01,1056.6,
1992-04,1066.0,
1992-07,1048.9,
1992-10,1162.4,
1993-01,1093.6,
1993-04,1090.8,
1993-07,1111.0,
1993-10,1302.7,
1994-01,1313.5,
1994-04,1309.1,
1994-07,1304.5,
1994-10,1310.4,
1995-01,1333.9,
1995-04,1367.3,
1995-07,1388.1,
1995-10,1408.3,
1996-01,1444.2,
1996-04,1465.0,
1996-07,1482.8,
1996-10,1512.1,
1997-01,1581.0,
1997-04,1618.0,
1997-07,1652.2,
1997-10,1665.7,
1998-01,1767.9,
1998-04,1827.5,
1998-07,1746.1,
1998-10,1795.8,
1999-01,1863.6,
1999-04,1859.4,
1999-07,1810.4,
1999-10,1972.0,
2000-01,2041.7,
2000-04,1997.6,
2000-07,2004.4,
2000-10,2001.5,
2001-01,1973.2,
2001-04,1995.6,
2001-07,1907.0,
2001-10,2072.9,
2002-01,2120.5,
2002-04,2071.9,
2002-07,1971.8,
2002-10,2023.4,
2003-01,2045.1,
2003-04,2137.5,
2003-07,2156.5,
2003-10,2239.0,
2004-01,2295.1,
2004-04,2325.0,
2004-07,2338.8,
2004-10,2396.4,
2005-01,2464.2,
2005-04,2515.7,
2005-07,2575.4,
2005-10,2632.0,
2006-01,2570.8,
2006-04,2562.5,
2006-07,2580.6,
2006-10,2663.7,
2007-01,2750.4,
2007-04,2832.8,
2007-07,2862.7,
2007-10,2929.3,
2008-01,2866.6,
2008-04,2867.4,
2008-07,2823.6,
2008-10,2770.8,
2009-01,2741.6,
2009-04,2808.3,
2009-07,2878.0,
2009-10,2943.8,
2010-01,3000.8,
2010-04,3021.0,
2010-07,3038.2,
2010-10,3125.0,
2011-01,3149.7,
2011-04,3176.2,
2011-07,3102.6,
2011-10,3162.3,
2012-01,3256.2,
2012-04,3262.7,
2012-07,3329.6,
2012-10,3385.1,
2013-01,3441.9,
2013-04,3456.0,
2013-07,3495.5,
2013-10,3573.6,
2014-01,3625.7,
