"",BBK01.TVE321,BBK01.TVE321_FLAGS
"",Monetary capital formation at monetary financial institutions MFIS) in the euro area / Debt securities with maturities of over 2 years (net) / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:42,
1997-10,5736,
1997-11,8165,
1997-12,-5159,
1998-01,7002,
1998-02,16894,
1998-03,8342,
1998-04,9973,
1998-05,10797,
1998-06,11442,
1998-07,8165,
1998-08,4279,
1998-09,2176,
1998-10,-10229,
1998-11,13069,
1998-12,1993,
1999-01,32920,
1999-02,12073,
1999-03,4512,
1999-04,14287,
1999-05,5651,
1999-06,6167,
1999-07,4990,
1999-08,2969,
1999-09,21117,
1999-10,12067,
1999-11,4198,
1999-12,-3250,
2000-01,-1339,
2000-02,12101,
2000-03,1001,
2000-04,15743,
2000-05,10641,
2000-06,14724,
2000-07,2830,
2000-08,7005,
2000-09,1541,
2000-10,8846,
2000-11,-2014,
2000-12,-1106,
2001-01,24720,
2001-02,8522,
2001-03,7347,
2001-04,-20,
2001-05,-6791,
2001-06,11735,
2001-07,8623,
2001-08,-39,
2001-09,17341,
2001-10,12473,
2001-11,18296,
2001-12,7318,
2002-01,10188,
2002-02,9417,
2002-03,18963,
2002-04,2469,
2002-05,21839,
2002-06,11386,
2002-07,12590,
2002-08,3121,
2002-09,12179,
2002-10,9179,
2002-11,13840,
2002-12,833,
2003-01,6402,
2003-02,9239,
2003-03,12833,
2003-04,11052,
2003-05,20149,
2003-06,8769,
2003-07,19633,
2003-08,3550,
2003-09,19435,
2003-10,20659,
2003-11,16376,
2003-12,426,
2004-01,16786,
2004-02,9561,
2004-03,31140,
2004-04,16530,
2004-05,16305,
2004-06,8628,
2004-07,14845,
2004-08,9442,
2004-09,31681,
2004-10,15229,
2004-11,7104,
2004-12,9049,
2005-01,10756,
2005-02,32674,
2005-03,23892,
2005-04,15255,
2005-05,21654,
2005-06,30019,
2005-07,6726,
2005-08,12534,
2005-09,14599,
2005-10,31002,
2005-11,6119,
2005-12,-7491,
2006-01,1050,
2006-02,25094,
2006-03,21178,
2006-04,17514,
2006-05,22445,
2006-06,21574,
2006-07,15817,
2006-08,4891,
2006-09,14035,
2006-10,28924,
2006-11,22799,
2006-12,18583,
2007-01,7928,
2007-02,39239,
2007-03,28105,
2007-04,10423,
2007-05,20927,
2007-06,33765,
2007-07,7770,
2007-08,9351,
2007-09,-3733,
2007-10,-197,
2007-11,-13456,
2007-12,2392,
2008-01,6559,
2008-02,-5481,
2008-03,11821,
2008-04,9150,
2008-05,13834,
2008-06,15649,
2008-07,17061,
2008-08,-692,
2008-09,-12042,
2008-10,-65157,
2008-11,-9569,
2008-12,7487,
2009-01,5519,
2009-02,23149,
2009-03,6209,
2009-04,-7997,
2009-05,22679,
2009-06,11380,
2009-07,14554,
2009-08,16164,
2009-09,-9665,
2009-10,1501,
2009-11,3832,
2009-12,-15584,
2010-01,33304,
2010-02,-7582,
2010-03,20808,
2010-04,8443,
2010-05,-8294,
2010-06,-20065,
2010-07,6765,
2010-08,-2202,
2010-09,15366,
2010-10,12292,
2010-11,3082,
2010-12,-3470,
2011-01,23116,
2011-02,22930,
2011-03,14215,
2011-04,19376,
2011-05,11351,
2011-06,2540,
2011-07,1954,
2011-08,-1814,
2011-09,-4750,
2011-10,-18579,
2011-11,-10619,
2011-12,-42673,
2012-01,-4543,
2012-02,-7188,
2012-03,-18889,
2012-04,-6971,
2012-05,-23226,
2012-06,-13033,
2012-07,6520,
2012-08,-1024,
2012-09,-3727,
2012-10,-12692,
2012-11,-1420,
2012-12,-19531,
2013-01,-7114,
2013-02,-1043,
2013-03,-32359,
2013-04,-15685,
2013-05,-19488,
2013-06,-22358,
2013-07,-25777,
2013-08,-13656,
2013-09,-2040,
2013-10,15305,
2013-11,-2258,
2013-12,-9755,
2014-01,-12424,
2014-02,-11312,
2014-03,-127,
2014-04,-922,
2014-05,3306,
2014-06,-22294,
2014-07,-10256,
2014-08,-5897,
2014-09,-11975,
2014-10,-26522,
2014-11,-13065,
2014-12,-41311,
2015-01,-7895,
