"",BBK01.OUZ086,BBK01.OUZ086_FLAGS
"","Sureties, Big banks",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:56:43,
1999-01,84.258,
1999-02,84.692,
1999-03,86.587,
1999-04,84.135,
1999-05,83.755,
1999-06,84.654,
1999-07,84.136,
1999-08,84.647,
1999-09,83.276,
1999-10,85.538,
1999-11,87.138,
1999-12,90.332,
2000-01,89.276,
2000-02,97.453,
2000-03,97.944,
2000-04,94.111,
2000-05,92.808,
2000-06,90.104,
2000-07,95.611,
2000-08,96.326,
2000-09,93.623,
2000-10,96.520,
2000-11,96.188,
2000-12,92.964,
2001-01,94.147,
2001-02,96.611,
2001-03,102.357,
2001-04,100.808,
2001-05,101.140,
2001-06,102.309,
2001-07,102.639,
2001-08,102.240,
2001-09,100.508,
2001-10,100.978,
2001-11,101.031,
2001-12,104.223,
2002-01,103.206,
2002-02,104.675,
2002-03,103.661,
2002-04,103.461,
2002-05,105.027,
2002-06,131.838,
2002-07,134.022,
2002-08,136.603,
2002-09,142.351,
2002-10,148.331,
2002-11,145.334,
2002-12,138.211,
2003-01,141.934,
2003-02,141.971,
2003-03,140.198,
2003-04,141.617,
2003-05,137.907,
2003-06,142.042,
2003-07,142.016,
2003-08,148.920,
2003-09,146.611,
2003-10,142.456,
2003-11,144.431,
2003-12,143.165,
2004-01,140.711,
2004-02,145.047,
2004-03,148.310,
2004-04,148.328,
2004-05,152.048,
2004-06,151.595,
2004-07,154.152,
2004-08,156.824,
2004-09,156.778,
2004-10,157.326,
2004-11,159.486,
2004-12,171.703,
2005-01,175.264,
2005-02,176.162,
2005-03,176.363,
2005-04,174.103,
2005-05,180.608,
2005-06,183.854,
2005-07,181.407,
2005-08,186.970,
2005-09,188.294,
2005-10,187.753,
2005-11,189.519,
2005-12,187.336,
2006-01,188.995,
2006-02,191.651,
2006-03,193.248,
2006-04,190.253,
2006-05,193.821,
2006-06,197.826,
2006-07,194.943,
2006-08,193.552,
2006-09,190.472,
2006-10,190.681,
2006-11,188.707,
2006-12,188.039,
2007-01,188.913,
2007-02,188.171,
2007-03,191.616,
2007-04,187.271,
2007-05,196.548,
2007-06,201.128,
2007-07,199.829,
2007-08,202.904,
2007-09,206.655,
2007-10,213.733,
2007-11,211.624,
2007-12,208.148,
2008-01,203.703,
2008-02,202.106,
2008-03,196.910,
2008-04,202.496,
2008-05,203.180,
2008-06,206.181,
2008-07,217.788,
2008-08,219.355,
2008-09,220.972,
2008-10,230.339,
2008-11,222.855,
2008-12,212.812,
2009-01,214.146,
2009-02,212.514,
2009-03,205.134,
2009-04,204.701,
2009-05,197.873,
2009-06,206.007,
2009-07,193.810,
2009-08,140.532,
2009-09,141.506,
2009-10,139.720,
2009-11,131.239,
2009-12,132.866,
2010-01,132.075,
2010-02,134.355,
2010-03,136.779,
2010-04,135.909,
2010-05,143.819,
2010-06,150.859,
2010-07,138.778,
2010-08,137.976,
2010-09,135.548,
2010-10,134.613,
2010-11,134.089,
2010-12,129.482,
2011-01,125.212,
2011-02,126.544,
2011-03,129.580,
2011-04,131.471,
2011-05,130.461,
2011-06,130.987,
2011-07,130.606,
2011-08,128.820,
2011-09,131.732,
2011-10,130.615,
2011-11,136.160,
2011-12,138.425,
2012-01,135.307,
2012-02,133.211,
2012-03,133.299,
2012-04,132.318,
2012-05,136.244,
2012-06,134.978,
2012-07,135.903,
2012-08,134.798,
2012-09,132.711,
2012-10,129.206,
2012-11,132.376,
2012-12,131.756,
2013-01,129.237,
2013-02,131.234,
2013-03,131.638,
2013-04,129.531,
2013-05,130.939,
2013-06,122.884,
2013-07,120.607,
2013-08,121.272,
2013-09,121.538,
2013-10,121.635,
2013-11,122.612,
2013-12,120.880,
2014-01,120.591,
2014-02,118.968,
2014-03,119.401,
2014-04,122.081,
2014-05,121.854,
2014-06,123.043,
2014-07,124.572,
2014-08,125.422,
2014-09,130.654,
2014-10,129.615,
2014-11,129.231,
