"",BBK01.OEAC02O,BBK01.OEAC02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:38,
2002-01,6.566,
2002-04,6.572,
2002-07,6.460,
2002-10,6.354,
2003-01,6.405,
2003-04,6.199,
2003-07,5.806,
2003-10,5.782,
2004-01,5.715,
2004-04,5.568,
2004-07,5.495,
2004-10,5.326,
2005-01,5.363,
2005-04,5.278,
2005-07,5.169,
2005-10,5.174,
2006-01,5.262,
2006-04,5.388,
2006-07,5.399,
2006-10,5.242,
2007-01,5.415,
2007-04,5.642,
2007-07,5.467,
2007-10,5.843,
2008-01,5.851,
2008-04,5.926,
2008-07,5.531,
2008-10,5.726,
2009-01,5.617,
2009-04,5.367,
2009-07,5.183,
2009-10,5.351,
2010-01,4.916,
2010-04,5.918,
2010-07,5.943,
2010-10,5.611,
2011-01,5.535,
2011-04,5.769,
2011-07,5.600,
2011-10,5.640,
2012-01,5.637,
2012-04,5.689,
2012-07,5.528,
2012-10,5.624,
2013-01,5.589,
2013-04,5.426,
2013-07,5.460,
2013-10,5.697,
2014-01,5.700,
2014-04,5.661,
2014-07,5.725,
