"",BBK01.OEAC09P,BBK01.OEAC09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:29,
2002-01,5.309,
2002-04,5.327,
2002-07,5.374,
2002-10,5.096,
2003-01,5.102,
2003-04,5.088,
2003-07,5.077,
2003-10,5.140,
2004-01,5.044,
2004-04,5.124,
2004-07,5.184,
2004-10,5.232,
2005-01,5.206,
2005-04,5.205,
2005-07,5.090,
2005-10,5.015,
2006-01,5.059,
2006-04,5.047,
2006-07,4.981,
2006-10,4.912,
2007-01,4.842,
2007-04,4.781,
2007-07,4.828,
2007-10,4.836,
2008-01,4.826,
2008-04,4.912,
2008-07,4.998,
2008-10,5.019,
2009-01,4.753,
2009-04,4.875,
2009-07,4.909,
2009-10,4.865,
2010-01,4.909,
2010-04,4.947,
2010-07,4.931,
2010-10,4.978,
2011-01,4.923,
2011-04,4.978,
2011-07,4.938,
2011-10,5.008,
2012-01,5.069,
2012-04,5.527,
2012-07,5.564,
2012-10,5.548,
2013-01,5.537,
2013-04,5.590,
2013-07,5.449,
2013-10,5.572,
2014-01,5.484,
2014-04,5.676,
2014-07,5.691,
