"",BBK01.OEBJ03G,BBK01.OEBJ03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:16,
2002-01,14.848,
2002-04,15.188,
2002-07,15.001,
2002-10,15.072,
2003-01,15.453,
2003-04,15.534,
2003-07,14.788,
2003-10,15.029,
2004-01,14.749,
2004-04,15.227,
2004-07,15.331,
2004-10,15.895,
2005-01,10.256,
2005-04,10.448,
2005-07,4.923,
2005-10,5.242,
2006-01,4.643,
2006-04,4.695,
2006-07,4.740,
2006-10,5.445,
2007-01,6.254,
2007-04,6.996,
2007-07,8.056,
2007-10,8.397,
2008-01,8.527,
2008-04,8.926,
2008-07,9.275,
2008-10,9.312,
2009-01,9.349,
2009-04,9.252,
2009-07,9.021,
2009-10,8.415,
2010-01,8.907,
2010-04,8.664,
2010-07,8.525,
2010-10,9.173,
2011-01,9.432,
2011-04,9.234,
2011-07,10.850,
2011-10,11.466,
2012-01,11.416,
2012-04,11.615,
2012-07,11.418,
2012-10,10.492,
2013-01,10.602,
2013-04,10.737,
2013-07,11.398,
2013-10,10.950,
2014-01,11.499,
2014-04,11.565,
2014-07,11.665,
