"",BBK01.OEHI08K,BBK01.OEHI08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:09,
2002-01,6.553,
2002-04,6.336,
2002-07,6.342,
2002-10,6.617,
2003-01,6.694,
2003-04,6.645,
2003-07,6.586,
2003-10,6.704,
2004-01,6.677,
2004-04,6.639,
2004-07,6.563,
2004-10,6.726,
2005-01,6.710,
2005-04,6.690,
2005-07,6.553,
2005-10,6.518,
2006-01,6.579,
2006-04,6.506,
2006-07,6.412,
2006-10,6.385,
2007-01,6.379,
2007-04,6.248,
2007-07,6.100,
2007-10,6.159,
2008-01,6.303,
2008-04,6.206,
2008-07,6.114,
2008-10,6.542,
2009-01,6.362,
2009-04,6.095,
2009-07,5.812,
2009-10,5.679,
2010-01,5.625,
2010-04,5.564,
2010-07,5.488,
2010-10,5.488,
2011-01,5.516,
2011-04,5.731,
2011-07,5.729,
2011-10,5.743,
2012-01,5.713,
2012-04,5.696,
2012-07,5.695,
2012-10,5.692,
2013-01,5.749,
2013-04,5.664,
2013-07,5.764,
2013-10,5.869,
2014-01,6.205,
2014-04,6.425,
2014-07,6.531,
