"",BBFB1.Q.N.DE.U3.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:09,
1991-01,-3368.235,
1991-04,-2899.728,
1991-07,-2808.660,
1991-10,-3811.126,
1992-01,-3563.054,
1992-04,-3101.553,
1992-07,-3443.173,
1992-10,-3594.862,
1993-01,-3147.980,
1993-04,-3702.373,
1993-07,-3804.325,
1993-10,-4723.189,
1994-01,-4362.697,
1994-04,-4042.079,
1994-07,-4434.420,
1994-10,-5040.711,
1995-01,-4281.103,
1995-04,-3790.069,
1995-07,-4011.801,
1995-10,-5005.980,
1996-01,-4763.147,
1996-04,-4766.001,
1996-07,-2760.354,
1996-10,-4361.138,
1997-01,-6180.469,
1997-04,-3265.394,
1997-07,-4349.918,
1997-10,-3170.053,
1998-01,-7613.310,
1998-04,-2660.804,
1998-07,-3707.155,
1998-10,-4107.228,
1999-01,-5339.988,
1999-04,-2772.685,
1999-07,-4353.685,
1999-10,-3981.567,
2000-01,-5204.375,
2000-04,-4309.056,
2000-07,-3697.611,
2000-10,-4873.228,
2001-01,-5163.983,
2001-04,-4397.814,
2001-07,-2704.564,
2001-10,-4021.816,
2002-01,-5308.777,
2002-04,-4398.310,
2002-07,-2236.224,
2002-10,-3189.523,
2003-01,-5140.667,
2003-04,-4356.670,
2003-07,-4692.870,
2003-10,-3463.929,
2004-01,-5870.555,
2004-04,-3357.765,
2004-07,-4229.250,
2004-10,-2649.303,
2005-01,-7327.029,
2005-04,-2523.449,
2005-07,-4086.747,
2005-10,-3371.400,
2006-01,-6615.888,
2006-04,-2229.229,
2006-07,-4949.584,
2006-10,-4885.785,
2007-01,-7532.359,
2007-04,-1342.534,
2007-07,-4032.033,
2007-10,-5504.110,
2008-01,-6653.466,
2008-04,-1541.887,
2008-07,-3175.115,
2008-10,-6222.574,
2009-01,-6161.445,
2009-04,-2052.686,
2009-07,-3482.263,
2009-10,-7277.181,
2010-01,-8614.264,
2010-04,-2277.755,
2010-07,-4974.727,
2010-10,-5855.014,
2011-01,-8228.946,
2011-04,-1959.355,
2011-07,-4507.191,
2011-10,-5284.949,
2012-01,-9510.631,
2012-04,-3310.168,
2012-07,-4306.955,
2012-10,-5009.411,
2013-01,-10693.086,
2013-04,-5361.258,
2013-07,-5614.941,
2013-10,-6248.193,
2014-01,-11051.394,Provisional value
2014-04,-4686.728,Provisional value
2014-07,-3602.737,Provisional value
