"",BBK01.SU1615,BBK01.SU1615_FLAGS
"",Capital disbured / Newly granted interim and bridging loan s and other building loans / All building and loan associa tions,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 10:44:46,
1973-12,0.398,
1974-01,0.335,
1974-02,0.302,
1974-03,0.390,
1974-04,0.422,
1974-05,0.490,
1974-06,0.395,
1974-07,0.462,
1974-08,0.404,
1974-09,0.381,
1974-10,0.420,
1974-11,0.414,
1974-12,0.397,
1975-01,0.342,
1975-02,0.321,
1975-03,0.337,
1975-04,0.524,
1975-05,0.497,
1975-06,0.503,
1975-07,0.518,
1975-08,0.452,
1975-09,0.496,
1975-10,0.564,
1975-11,0.549,
1975-12,0.596,
1976-01,0.413,
1976-02,0.413,
1976-03,0.507,
1976-04,0.546,
1976-05,0.602,
1976-06,0.601,
1976-07,0.595,
1976-08,0.523,
1976-09,0.549,
1976-10,0.546,
1976-11,0.544,
1976-12,0.604,
1977-01,0.423,
1977-02,0.406,
1977-03,0.528,
1977-04,0.508,
1977-05,0.551,
1977-06,0.578,
1977-07,0.587,
1977-08,0.621,
1977-09,0.647,
1977-10,0.652,
1977-11,0.617,
1977-12,0.725,
1978-01,0.544,
1978-02,0.481,
1978-03,0.582,
1978-04,0.623,
1978-05,0.608,
1978-06,0.710,
1978-07,0.643,
1978-08,0.646,
1978-09,0.639,
1978-10,0.697,
1978-11,0.646,
1978-12,0.670,
1979-01,0.509,
1979-02,0.468,
1979-03,0.616,
1979-04,0.648,
1979-05,0.789,
1979-06,0.833,
1979-07,0.866,
1979-08,0.800,
1979-09,0.719,
1979-10,0.784,
1979-11,0.732,
1979-12,0.797,
1980-01,0.649,
1980-02,0.572,
1980-03,0.731,
1980-04,0.854,
1980-05,0.754,
1980-06,0.692,
1980-07,0.657,
1980-08,0.522,
1980-09,0.548,
1980-10,0.643,
1980-11,0.512,
1980-12,0.651,
1981-01,0.465,
1981-02,0.446,
1981-03,0.697,
1981-04,0.867,
1981-05,0.736,
1981-06,0.697,
1981-07,0.776,
1981-08,0.585,
1981-09,0.627,
1981-10,0.668,
1981-11,0.529,
1981-12,0.654,
1982-01,0.466,
1982-02,0.463,
1982-03,0.576,
1982-04,0.541,
1982-05,0.479,
1982-06,0.587,
1982-07,0.626,
1982-08,0.545,
1982-09,0.588,
1982-10,0.767,
1982-11,0.610,
1982-12,0.953,
1983-01,0.676,
1983-02,0.740,
1983-03,1.063,
1983-04,0.988,
1983-05,0.827,
1983-06,0.892,
1983-07,0.860,
1983-08,0.735,
1983-09,0.740,
1983-10,0.870,
1983-11,0.640,
1983-12,0.944,
1984-01,0.619,
1984-02,0.994,
1984-03,0.989,
1984-04,0.891,
1984-05,0.770,
1984-06,0.757,
1984-07,0.750,
1984-08,0.668,
1984-09,0.642,
1984-10,0.806,
1984-11,0.604,
1984-12,0.733,
1985-01,0.595,
1985-02,0.536,
1985-03,0.755,
1985-04,0.752,
1985-05,0.629,
1985-06,0.669,
1985-07,0.696,
1985-08,0.545,
1985-09,0.593,
1985-10,0.709,
1985-11,0.568,
1985-12,0.756,
1986-01,0.593,
1986-02,0.447,
1986-03,0.639,
1986-04,0.751,
1986-05,0.559,
1986-06,0.745,
1986-07,0.732,
1986-08,0.559,
1986-09,0.643,
1986-10,0.652,
1986-11,0.508,
1986-12,0.770,
1987-01,0.512,
1987-02,0.442,
1987-03,0.652,
1987-04,0.656,
1987-05,0.504,
1987-06,0.768,
1987-07,0.662,
1987-08,0.546,
1987-09,0.714,
1987-10,0.613,
1987-11,0.506,
1987-12,0.688,
1988-01,0.501,
1988-02,0.452,
1988-03,0.736,
1988-04,0.556,
1988-05,0.574,
1988-06,0.685,
1988-07,0.557,
1988-08,0.478,
1988-09,0.562,
1988-10,0.446,
1988-11,0.381,
1988-12,0.531,
1989-01,0.435,
1989-02,0.356,
1989-03,0.561,
1989-04,0.533,
1989-05,0.446,
1989-06,0.642,
1989-07,0.548,
1989-08,0.473,
1989-09,0.538,
1989-10,0.575,
1989-11,0.535,
1989-12,0.762,
1990-01,0.566,
1990-02,0.497,
1990-03,0.753,
1990-04,0.682,
1990-05,0.660,
1990-06,0.655,
1990-07,0.683,
1990-08,0.589,
1990-09,0.553,
1990-10,0.665,
1990-11,0.552,
1990-12,0.701,
1991-01,0.426,
1991-02,0.422,
1991-03,0.587,
1991-04,0.640,
1991-05,0.569,
1991-06,0.676,
1991-07,0.779,
1991-08,0.706,
1991-09,0.825,
1991-10,0.846,
1991-11,0.651,
1991-12,0.814,
1992-01,0.619,
1992-02,0.539,
1992-03,0.707,
1992-04,0.766,
1992-05,0.706,
1992-06,0.837,
1992-07,0.962,
1992-08,0.752,
1992-09,0.835,
1992-10,0.824,
1992-11,0.700,
1992-12,0.949,
1993-01,0.626,
1993-02,0.576,
1993-03,0.812,
1993-04,0.783,
1993-05,0.809,
1993-06,1.062,
1993-07,1.080,
1993-08,0.885,
1993-09,0.993,
1993-10,0.959,
1993-11,0.950,
1993-12,1.266,
1994-01,0.836,
1994-02,0.792,
1994-03,1.078,
1994-04,0.990,
1994-05,0.980,
1994-06,1.065,
1994-07,1.069,
1994-08,0.951,
1994-09,1.147,
1994-10,0.921,
1994-11,0.949,
1994-12,1.278,
1995-01,0.760,
1995-02,0.719,
1995-03,1.130,
1995-04,0.785,
1995-05,0.971,
1995-06,1.077,
1995-07,1.145,
1995-08,1.139,
1995-09,1.097,
1995-10,1.104,
1995-11,1.081,
1995-12,1.208,
1996-01,1.020,
1996-02,0.934,
1996-03,1.269,
1996-04,1.310,
1996-05,1.208,
1996-06,1.258,
1996-07,1.406,
1996-08,1.181,
1996-09,1.186,
1996-10,1.227,
1996-11,1.055,
1996-12,1.289,
1997-01,1.122,
1997-02,0.988,
1997-03,1.167,
1997-04,1.485,
1997-05,1.212,
1997-06,1.487,
1997-07,1.490,
1997-08,1.209,
1997-09,1.364,
1997-10,1.350,
1997-11,1.150,
1997-12,1.324,
1998-01,1.002,
1998-02,0.906,
1998-03,1.288,
1998-04,1.307,
1998-05,1.236,
1998-06,1.521,
1998-07,1.622,
1998-08,1.306,
1998-09,1.385,
1998-10,1.421,
1998-11,1.371,
1998-12,1.797,
1999-01,1.163,
1999-02,1.021,
1999-03,1.466,
1999-04,1.360,
1999-05,1.256,
1999-06,1.563,
1999-07,1.643,
1999-08,1.560,
1999-09,1.608,
1999-10,1.455,
1999-11,1.423,
1999-12,1.536,
2000-01,1.033,
2000-02,1.046,
2000-03,1.286,
2000-04,1.216,
2000-05,1.326,
2000-06,1.293,
2000-07,1.358,
2000-08,1.321,
