"",BBEX3.M.CRC.USD.CA.AC.A01,BBEX3.M.CRC.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Costa Rica / USD 1 = CRC ... (middle),
unit,CRC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:52,
1991-01,106.275,comment
1991-02,110.775,
1991-03,115.450,
1991-04,118.450,
1991-05,121.200,
1991-06,123.525,
1991-07,126.025,
1991-08,128.525,
1991-09,130.275,
1991-10,132.250,
1991-11,133.825,
1991-12,135.425,
1992-01,137.325,
1992-02,137.325,
1992-03,132.990,
1992-04,130.625,
1992-05,128.075,
1992-06,134.315,comment
1992-07,133.980,
1992-08,135.375,
1992-09,135.900,
1992-10,136.400,
1992-11,136.825,
1992-12,137.050,
1993-01,138.445,
1993-02,138.225,
1993-03,138.225,
1993-04,138.195,
1993-05,138.190,
1993-06,140.505,
1993-07,142.060,
1993-08,143.910,
1993-09,145.785,
1993-10,147.595,
1993-11,149.635,
1993-12,151.440,
1994-01,152.335,
1994-02,152.955,
1994-03,153.925,
1994-04,154.320,
1994-05,155.085,
1994-06,156.130,
1994-07,157.275,
1994-08,158.650,
1994-09,159.970,
1994-10,161.720,
1994-11,163.510,
1994-12,165.070,
1995-01,167.110,
1995-02,169.410,
1995-03,172.245,
1995-04,174.315,
1995-05,177.035,
1995-06,179.495,
1995-07,181.620,
1995-08,184.440,
1995-09,186.990,
1995-10,189.655,
1995-11,192.565,
1995-12,194.900,
1996-01,197.310,
1996-02,199.465,
1996-03,201.430,
1996-04,203.125,comment
1996-05,205.460,
1996-06,207.355,
1996-07,209.550,
1996-08,211.575,
1996-09,213.730,
1996-10,216.000,
1996-11,218.105,
1996-12,219.960,
1997-01,222.615,
1997-02,224.245,
1997-03,226.165,
1997-04,228.370,
1997-05,230.565,
1997-06,232.845,
1997-07,234.840,
1997-08,236.590,
1997-09,238.550,
1997-10,240.565,
1997-11,242.355,
1997-12,244.285,
1998-01,246.060,
1998-02,247.970,
1998-03,250.090,
1998-04,252.125,
1998-05,254.165,
1998-06,256.615,
1998-07,259.160,
1998-08,261.450,
1998-09,263.830,
1998-10,266.375,
1998-11,268.930,
1998-12,271.510,
1999-01,273.695,
1999-02,276.075,
1999-03,278.805,
1999-04,281.270,
1999-05,283.750,
1999-06,286.375,
1999-07,288.570,
1999-08,290.560,
1999-09,292.390,
1999-10,294.170,
1999-11,296.190,
1999-12,298.095,comment
2000-01,299.510,
2000-02,301.265,comment
2000-03,303.320,
2000-04,304.625,
2000-05,306.355,
2000-06,308.145,
2000-07,309.725,
2000-08,311.425,
2000-09,313.015,
2000-10,314.740,
2000-11,316.565,
2000-12,318.020,
2001-01,319.735,
2001-02,321.285,
2001-03,323.075,
2001-04,324.405,
2001-05,326.315,
2001-06,328.010,
2001-07,330.050,
2001-08,332.080,
2001-09,334.145,
2001-10,336.670,
2001-11,339.355,
2001-12,341.670,
2002-01,344.465,
2002-02,347.290,
2002-03,350.100,
2002-04,353.140,
2002-05,356.415,
2002-06,359.385,
2002-07,362.700,
2002-08,365.710,
2002-09,368.845,
2002-10,372.245,
2002-11,375.485,
2002-12,378.445,
2003-01,382.025,
2003-02,385.220,
2003-03,388.525,
2003-04,391.545,
2003-05,394.885,
2003-06,398.250,
2003-07,401.820,
2003-08,404.920,
2003-09,408.325,
