"",BBK01.OEHL02V,BBK01.OEHL02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:39,
2002-01,7.223,
2002-04,7.202,
2002-07,7.361,
2002-10,7.533,
2003-01,7.499,
2003-04,7.414,
2003-07,7.377,
2003-10,7.433,
2004-01,7.393,
2004-04,7.387,
2004-07,7.310,
2004-10,7.446,
2005-01,7.387,
2005-04,7.373,
2005-07,7.354,
2005-10,7.495,
2006-01,7.479,
2006-04,7.431,
2006-07,7.398,
2006-10,7.511,
2007-01,7.517,
2007-04,7.696,
2007-07,7.754,
2007-10,7.969,
2008-01,7.965,
2008-04,8.068,
2008-07,8.024,
2008-10,8.355,
2009-01,8.631,
2009-04,8.967,
2009-07,9.175,
2009-10,9.447,
2010-01,9.696,
2010-04,9.896,
2010-07,10.034,
2010-10,10.271,
2011-01,10.309,
2011-04,10.309,
2011-07,10.291,
2011-10,10.493,
2012-01,10.613,
2012-04,10.732,
2012-07,10.855,
2012-10,11.093,
2013-01,11.309,
2013-04,11.555,
2013-07,11.610,
2013-10,11.874,
2014-01,12.034,
2014-04,12.210,
2014-07,12.397,
