"",BBK01.OEXI04K,BBK01.OEXI04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:48,
2002-01,5.484,
2002-04,5.672,
2002-07,5.562,
2002-10,5.913,
2003-01,5.895,
2003-04,4.948,
2003-07,5.671,
2003-10,5.189,
2004-01,4.710,
2004-04,4.724,
2004-07,4.917,
2004-10,3.024,
2005-01,2.901,
2005-04,3.140,
2005-07,2.678,
2005-10,3.188,
2006-01,3.171,
2006-04,3.585,
2006-07,3.521,
2006-10,3.529,
2007-01,4.221,
2007-04,4.060,
2007-07,4.231,
2007-10,5.126,
2008-01,4.605,
2008-04,5.349,
2008-07,5.656,
2008-10,5.844,
2009-01,4.714,
2009-04,4.619,
2009-07,3.814,
2009-10,3.537,
2010-01,3.670,
2010-04,3.596,
2010-07,3.291,
2010-10,3.964,
2011-01,3.742,
2011-04,3.927,
2011-07,4.500,
2011-10,4.579,
2012-01,4.468,
2012-04,4.620,
2012-07,4.262,
2012-10,4.023,
2013-01,4.908,
2013-04,4.208,
2013-07,3.253,
2013-10,3.340,
2014-01,2.729,
2014-04,2.831,
2014-07,2.760,
