"",BBK01.OEAD06O,BBK01.OEAD06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:41,
2002-01,0.738,
2002-04,0.708,
2002-07,0.772,
2002-10,0.712,
2003-01,0.784,
2003-04,0.789,
2003-07,0.789,
2003-10,0.781,
2004-01,0.785,
2004-04,0.801,
2004-07,0.835,
2004-10,0.812,
2005-01,0.807,
2005-04,0.777,
2005-07,0.816,
2005-10,0.798,
2006-01,0.780,
2006-04,0.775,
2006-07,0.792,
2006-10,0.780,
2007-01,0.825,
2007-04,0.819,
2007-07,0.765,
2007-10,0.796,
2008-01,0.851,
2008-04,0.833,
2008-07,0.865,
2008-10,0.866,
2009-01,0.941,
2009-04,0.900,
2009-07,0.889,
2009-10,1.184,
2010-01,0.733,
2010-04,0.981,
2010-07,0.958,
2010-10,0.826,
2011-01,0.897,
2011-04,0.923,
2011-07,0.957,
2011-10,0.914,
2012-01,0.995,
2012-04,0.954,
2012-07,0.912,
2012-10,0.926,
2013-01,0.990,
2013-04,0.898,
2013-07,0.882,
2013-10,0.876,
2014-01,1.001,
2014-04,0.941,
2014-07,1.053,
