"",BBK01.CEL20L,BBK01.CEL20L_FLAGS
"",Currency and deposits debtor: Total            creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:28,
1999-01,1.6,
1999-04,0.6,
1999-07,1.3,
1999-10,1.9,
2000-01,1.6,
2000-04,0.6,
2000-07,0.0,
2000-10,1.1,
2001-01,0.7,
2001-04,0.8,
2001-07,0.4,
2001-10,0.8,
2002-01,0.3,
2002-04,0.2,
2002-07,0.6,
2002-10,1.9,
2003-01,1.2,
2003-04,0.0,
2003-07,0.5,
2003-10,0.7,
2004-01,1.7,
2004-04,1.4,
2004-07,1.8,
2004-10,1.7,
2005-01,2.2,
2005-04,0.5,
2005-07,0.4,
2005-10,1.2,
2006-01,0.6,
2006-04,1.4,
2006-07,1.6,
2006-10,4.2,
2007-01,-0.6,
2007-04,2.1,
2007-07,1.1,
2007-10,2.9,
2008-01,1.3,
2008-04,1.1,
2008-07,-0.4,
2008-10,1.3,
2009-01,2.8,
2009-04,-0.9,
2009-07,0.6,
2009-10,-1.0,
2010-01,-1.3,
2010-04,-1.8,
2010-07,-1.8,
2010-10,-0.6,
2011-01,0.4,
2011-04,0.1,
2011-07,0.3,
2011-10,-1.3,
2012-01,-1.7,
2012-04,-1.1,
2012-07,-1.3,
2012-10,-1.4,
2013-01,4.8,
2013-04,-1.4,
2013-07,-1.9,
2013-10,-1.3,
2014-01,0.1,
2014-04,-1.3,
2014-07,-2.4,
