"",BBFB1.Q.N.DE.A1.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:19,
1991-01,2357.705,
1991-04,2448.427,
1991-07,2856.802,
1991-10,2898.582,
1992-01,2842.932,
1992-04,2666.744,
1992-07,3158.193,
1992-10,3000.176,
1993-01,2853.884,
1993-04,2769.140,
1993-07,3132.324,
1993-10,3102.717,
1994-01,2928.303,
1994-04,2728.605,
1994-07,3360.988,
1994-10,3110.887,
1995-01,3119.050,
1995-04,2884.853,
1995-07,3456.425,
1995-10,3292.690,
1996-01,3074.819,
1996-04,3003.589,
1996-07,3646.284,
1996-10,3850.202,
1997-01,4103.243,
1997-04,4552.849,
1997-07,4866.982,
1997-10,4941.666,
1998-01,4767.472,
1998-04,4635.669,
1998-07,5525.678,
1998-10,5370.421,
1999-01,5093.061,
1999-04,5049.848,
1999-07,5798.168,
1999-10,6929.621,
2000-01,5615.787,
2000-04,5777.872,
2000-07,6467.403,
2000-10,7866.427,
2001-01,6294.691,
2001-04,6258.851,
2001-07,7010.083,
2001-10,8676.671,
2002-01,6113.615,
2002-04,5902.956,
2002-07,5846.599,
2002-10,6810.925,
2003-01,6161.215,
2003-04,5257.059,
2003-07,5443.730,
2003-10,6473.534,
2004-01,5513.800,
2004-04,5786.652,
2004-07,5704.004,
2004-10,6511.964,
2005-01,5921.993,
2005-04,5989.563,
2005-07,6826.207,
2005-10,7744.079,
2006-01,7126.235,
2006-04,6416.241,
2006-07,7088.212,
2006-10,9072.607,
2007-01,6962.812,
2007-04,6740.439,
2007-07,7551.667,
2007-10,7578.761,
2008-01,7124.028,
2008-04,7446.760,
2008-07,7570.153,
2008-10,7760.079,
2009-01,6529.920,
2009-04,7409.358,
2009-07,7132.106,
2009-10,6935.343,
2010-01,7054.577,
2010-04,8132.798,
2010-07,7916.540,
2010-10,8351.004,
2011-01,7767.805,
2011-04,8169.298,
2011-07,8839.919,
2011-10,9206.642,
2012-01,9648.501,
2012-04,9127.242,
2012-07,9669.461,
2012-10,9415.165,
2013-01,10378.580,
2013-04,10174.439,
2013-07,10665.505,
2013-10,10332.089,
2014-01,9618.388,Provisional value
2014-04,10090.180,Provisional value
2014-07,10527.919,Provisional value
