"",BBSF2.M.1.S.I0002.SON01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.SON01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Number / Pension fund institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:53:35,
2009-09,6,
2009-10,6,
2009-11,7,
2009-12,7,
2010-01,3,
2010-02,3,
2010-03,3,
2010-04,3,
2010-05,5,
2010-06,5,
2010-07,5,
2010-08,3,
2010-09,3,
2010-10,3,
2010-11,3,
2010-12,4,
2011-01,4,
2011-02,4,
2011-03,4,
2011-04,4,
2011-05,4,
2011-06,4,
2011-07,5,
2011-08,5,
2011-09,5,
2011-10,6,
2011-11,8,
2011-12,8,
2012-01,9,
2012-02,9,
2012-03,9,
2012-04,10,
2012-05,10,
2012-06,10,
2012-07,10,
2012-08,11,
2012-09,12,
2012-10,15,
2012-11,16,
2012-12,17,
2013-01,18,
2013-02,17,
2013-03,17,
2013-04,17,
2013-05,19,
2013-06,20,
2013-07,24,
2013-08,24,
2013-09,24,
2013-10,23,
2013-11,22,
2013-12,22,
2014-01,22,
2014-02,22,
2014-03,22,
2014-04,22,
2014-05,21,
2014-06,21,
2014-07,21,
2014-08,19,
2014-09,18,
2014-10,18,
2014-11,18,
