"",BBK01.OEAO01G,BBK01.OEAO01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:29,
2002-01,114.476,
2002-04,114.540,
2002-07,113.387,
2002-10,115.524,
2003-01,119.813,
2003-04,120.801,
2003-07,120.868,
2003-10,122.544,
2004-01,125.758,
2004-04,126.847,
2004-07,127.043,
2004-10,127.490,
2005-01,98.110,
2005-04,99.617,
2005-07,99.419,
2005-10,98.882,
2006-01,99.622,
2006-04,99.030,
2006-07,97.876,
2006-10,96.656,
2007-01,96.228,
2007-04,94.823,
2007-07,92.343,
2007-10,90.380,
2008-01,90.010,
2008-04,87.456,
2008-07,85.187,
2008-10,82.674,
2009-01,84.783,
2009-04,87.363,
2009-07,89.528,
2009-10,93.214,
2010-01,98.708,
2010-04,101.563,
2010-07,102.014,
2010-10,102.658,
2011-01,104.957,
2011-04,106.565,
2011-07,106.035,
2011-10,105.538,
2012-01,105.687,
2012-04,106.183,
2012-07,105.738,
2012-10,105.671,
2013-01,106.564,
2013-04,106.149,
2013-07,105.525,
2013-10,105.697,
2014-01,106.504,
2014-04,106.868,
2014-07,105.973,
