"",BBK01.OEAE24G,BBK01.OEAE24G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:57,
2002-01,1.400,
2002-04,1.558,
2002-07,1.557,
2002-10,1.411,
2003-01,1.368,
2003-04,1.385,
2003-07,1.452,
2003-10,1.566,
2004-01,1.521,
2004-04,1.474,
2004-07,1.391,
2004-10,1.347,
2005-01,1.468,
2005-04,1.348,
2005-07,1.337,
2005-10,1.312,
2006-01,1.402,
2006-04,1.414,
2006-07,1.388,
2006-10,1.220,
2007-01,1.278,
2007-04,1.317,
2007-07,1.386,
2007-10,1.428,
2008-01,1.389,
2008-04,1.365,
2008-07,1.389,
2008-10,1.748,
2009-01,1.766,
2009-04,1.857,
2009-07,1.842,
2009-10,1.806,
2010-01,1.587,
2010-04,1.668,
2010-07,1.591,
2010-10,1.690,
2011-01,1.650,
2011-04,1.668,
2011-07,1.773,
2011-10,1.855,
2012-01,1.876,
2012-04,1.877,
2012-07,1.771,
2012-10,1.758,
2013-01,1.736,
2013-04,1.693,
2013-07,1.772,
2013-10,1.768,
2014-01,1.643,
2014-04,1.709,
2014-07,1.696,
