"",BBK01.OEXK01S,BBK01.OEXK01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:01,
2002-01,0.132,
2002-04,0.123,
2002-07,0.125,
2002-10,0.137,
2003-01,0.131,
2003-04,0.129,
2003-07,0.144,
2003-10,0.160,
2004-01,0.154,
2004-04,0.154,
2004-07,0.163,
2004-10,0.165,
2005-01,0.148,
2005-04,0.149,
2005-07,0.162,
2005-10,0.177,
2006-01,0.240,
2006-04,0.179,
2006-07,0.179,
2006-10,0.190,
2007-01,0.174,
2007-04,0.179,
2007-07,0.197,
2007-10,0.197,
2008-01,0.175,
2008-04,0.174,
2008-07,0.181,
2008-10,0.198,
2009-01,0.175,
2009-04,0.185,
2009-07,0.211,
2009-10,0.203,
2010-01,0.193,
2010-04,0.235,
2010-07,0.256,
2010-10,0.262,
2011-01,0.255,
2011-04,0.275,
2011-07,0.283,
2011-10,0.306,
2012-01,0.300,
2012-04,0.309,
2012-07,0.314,
2012-10,0.323,
2013-01,0.320,
2013-04,0.324,
2013-07,0.341,
2013-10,0.357,
2014-01,0.351,
2014-04,0.358,
2014-07,0.374,
